                     CH2(Unit:V)     CH3(Unit:V)
Frequency:            96.000 kHz      96.000 kHz
Period:                10.417 uS       10.417 uS
PK-PK:                     160mV           5.00V
1                          0.060           1.920
2                          0.068           2.000
3                          0.060           1.840
4                          0.068           1.920
5                          0.060           1.720
6                          0.072           1.800
7                          0.064           1.600
8                          0.072           1.720
9                          0.064           1.480
10                         0.072           1.600
11                         0.064           1.360
12                         0.076           1.480
13                         0.068           1.240
14                         0.072           1.360
15                         0.064           1.120
16                         0.080           1.240
17                         0.068           0.960
18                         0.076           1.120
19                         0.064           0.840
20                         0.076           0.960
21                         0.068           0.680
22                         0.072           0.840
23                         0.064           0.560
24                         0.076           0.680
25                         0.064           0.400
26                         0.076           0.520
27                         0.064           0.240
28                         0.072           0.360
29                         0.060           0.080
30                         0.072           0.240
31                         0.060          -0.040
32                         0.072           0.080
33                         0.060          -0.200
34                         0.068          -0.080
35                         0.056          -0.360
36                         0.068          -0.240
37                         0.052          -0.520
38                         0.064          -0.360
39                         0.052          -0.640
40                         0.056          -0.520
41                         0.048          -0.800
42                         0.060          -0.640
43                         0.044          -0.920
44                         0.056          -0.800
45                         0.036          -1.080
46                         0.052          -0.960
47                         0.036          -1.200
48                         0.048          -1.080
49                         0.036          -1.360
50                         0.044          -1.240
51                         0.032          -1.480
52                         0.040          -1.360
53                         0.028          -1.600
54                         0.036          -1.480
55                         0.024          -1.720
56                         0.032          -1.600
57                         0.020          -1.840
58                         0.032          -1.720
59                         0.016          -1.920
60                         0.024          -1.840
61                         0.012          -2.040
62                         0.024          -1.920
63                         0.004          -2.120
64                         0.016          -2.040
65                         0.004          -2.200
66                         0.016          -2.120
67                         0.000          -2.280
68                         0.012          -2.200
69                        -0.004          -2.360
70                         0.008          -2.280
71                        -0.012          -2.400
72                         0.000          -2.360
73                        -0.016          -2.440
74                        -0.004          -2.400
75                        -0.016          -2.480
76                        -0.008          -2.440
77                        -0.020          -2.520
78                        -0.012          -2.480
79                        -0.024          -2.560
80                        -0.012          -2.520
81                        -0.032          -2.560
82                        -0.024          -2.560
83                        -0.032          -2.560
84                        -0.024          -2.560
85                        -0.036          -2.560
86                        -0.028          -2.560
87                        -0.040          -2.560
88                        -0.028          -2.560
89                        -0.044          -2.560
90                        -0.036          -2.520
91                        -0.048          -2.520
92                        -0.040          -2.480
93                        -0.052          -2.480
94                        -0.044          -2.440
95                        -0.056          -2.440
96                        -0.040          -2.400
97                        -0.060          -2.400
98                        -0.048          -2.360
99                        -0.060          -2.360
100                       -0.052          -2.280
101                       -0.060          -2.280
102                       -0.052          -2.200
103                       -0.064          -2.200
104                       -0.056          -2.120
105                       -0.068          -2.120
106                       -0.056          -2.040
107                       -0.068          -2.040
108                       -0.060          -1.960
109                       -0.072          -1.920
110                       -0.060          -1.840
111                       -0.072          -1.840
112                       -0.060          -1.720
113                       -0.072          -1.720
114                       -0.064          -1.640
115                       -0.072          -1.600
116                       -0.068          -1.520
117                       -0.076          -1.480
118                       -0.064          -1.360
119                       -0.072          -1.360
120                       -0.064          -1.240
121                       -0.076          -1.240
122                       -0.064          -1.120
123                       -0.076          -1.080
124                       -0.068          -0.960
125                       -0.076          -0.960
126                       -0.064          -0.840
127                       -0.076          -0.800
128                       -0.060          -0.680
129                       -0.072          -0.680
130                       -0.064          -0.520
131                       -0.072          -0.520
132                       -0.064          -0.360
133                       -0.072          -0.360
134                       -0.064          -0.240
135                       -0.068          -0.200
136                       -0.056          -0.080
137                       -0.068          -0.080
138                       -0.056           0.080
139                       -0.064           0.080
140                       -0.052           0.200
141                       -0.064           0.240
142                       -0.056           0.360
143                       -0.060           0.400
144                       -0.048           0.520
145                       -0.056           0.520
146                       -0.048           0.680
147                       -0.052           0.680
148                       -0.044           0.800
149                       -0.052           0.800
150                       -0.044           0.960
151                       -0.052           0.960
152                       -0.036           1.080
153                       -0.044           1.080
154                       -0.032           1.200
155                       -0.040           1.240
156                       -0.032           1.320
157                       -0.040           1.360
158                       -0.032           1.480
159                       -0.036           1.480
160                       -0.020           1.600
161                       -0.028           1.600
162                       -0.016           1.680
163                       -0.024           1.720
164                       -0.016           1.800
165                       -0.024           1.800
166                       -0.012           1.880
167                       -0.020           1.920
168                       -0.008           2.000
169                       -0.012           2.000
170                       -0.004           2.080
171                       -0.008           2.080
172                        0.000           2.160
173                       -0.004           2.160
174                        0.004           2.200
175                       -0.004           2.200
176                        0.008           2.280
177                        0.004           2.280
178                        0.016           2.320
179                        0.012           2.320
180                        0.016           2.360
181                        0.012           2.360
182                        0.024           2.400
183                        0.016           2.400
184                        0.024           2.440
185                        0.020           2.400
186                        0.032           2.440
187                        0.024           2.440
188                        0.036           2.440
189                        0.028           2.440
190                        0.040           2.440
191                        0.032           2.400
192                        0.044           2.440
193                        0.032           2.400
194                        0.044           2.440
195                        0.040           2.360
196                        0.052           2.400
197                        0.040           2.320
198                        0.052           2.360
199                        0.044           2.280
200                        0.052           2.320
201                        0.048           2.240
202                        0.056           2.280
203                        0.052           2.160
204                        0.060           2.240
205                        0.056           2.080
206                        0.064           2.160
207                        0.056           2.040
208                        0.068           2.080
209                        0.056           1.920
210                        0.064           2.000
211                        0.060           1.840
212                        0.068           1.920
213                        0.060           1.720
214                        0.072           1.840
215                        0.060           1.640
216                        0.076           1.720
217                        0.060           1.520
218                        0.076           1.600
219                        0.064           1.400
220                        0.076           1.480
221                        0.068           1.280
222                        0.076           1.360
