,CH2(Unit:V),CH3(Unit:V)
Frequency:,52.000 kHz,52.000 kHz
Period:,19.231 uS,19.231 uS
PK-PK:,424mV,5.00V
1,0.200,0.720
2,0.216,0.880
3,0.200,0.880
4,0.216,1.040
5,0.200,1.040
6,0.208,1.160
7,0.192,1.200
8,0.208,1.320
9,0.192,1.320
10,0.200,1.440
11,0.184,1.480
12,0.200,1.600
13,0.176,1.600
14,0.192,1.680
15,0.168,1.720
16,0.184,1.800
17,0.168,1.840
18,0.176,1.920
19,0.160,1.920
20,0.168,2.040
21,0.152,2.040
22,0.160,2.120
23,0.144,2.120
24,0.152,2.200
25,0.128,2.200
26,0.144,2.280
27,0.120,2.280
28,0.136,2.320
29,0.104,2.360
30,0.128,2.400
31,0.096,2.400
32,0.112,2.440
33,0.080,2.440
34,0.104,2.480
35,0.072,2.480
36,0.088,2.480
37,0.056,2.480
38,0.072,2.480
39,0.048,2.480
40,0.056,2.520
41,0.032,2.480
42,0.048,2.520
43,0.024,2.480
44,0.040,2.480
45,0.008,2.440
46,0.032,2.480
47,-0.008,2.400
48,0.008,2.440
49,-0.016,2.360
50,0.000,2.400
51,-0.024,2.280
52,-0.008,2.360
53,-0.040,2.200
54,-0.024,2.280
55,-0.056,2.120
56,-0.040,2.200
57,-0.064,2.040
58,-0.048,2.120
59,-0.080,1.960
60,-0.072,2.040
61,-0.096,1.840
62,-0.080,1.920
63,-0.104,1.720
64,-0.088,1.840
65,-0.112,1.600
66,-0.096,1.720
67,-0.128,1.480
68,-0.112,1.600
69,-0.136,1.320
70,-0.120,1.480
71,-0.144,1.200
72,-0.128,1.320
73,-0.160,1.040
74,-0.136,1.200
75,-0.160,0.920
76,-0.144,1.040
77,-0.168,0.760
78,-0.160,0.880
79,-0.176,0.600
80,-0.160,0.720
81,-0.184,0.440
82,-0.168,0.560
83,-0.192,0.280
84,-0.176,0.440
85,-0.192,0.120
86,-0.176,0.280
87,-0.200,-0.040
88,-0.184,0.080
89,-0.200,-0.200
90,-0.184,-0.080
91,-0.200,-0.400
92,-0.184,-0.240
93,-0.200,-0.520
94,-0.184,-0.400
95,-0.200,-0.680
