,CH2(Unit:V),CH3(Unit:V)
Frequency:,75.800 kHz,75.800 kHz
Period:,13.193 uS,13.193 uS
PK-PK:,640mV,4.92V
1,0.088,1.560
2,0.104,1.640
3,0.096,1.640
4,0.116,1.720
5,0.116,1.720
6,0.128,1.800
7,0.128,1.800
8,0.144,1.880
9,0.144,1.880
10,0.156,1.960
11,0.152,1.960
12,0.168,2.000
13,0.164,2.000
14,0.180,2.080
15,0.176,2.080
16,0.196,2.120
17,0.192,2.120
18,0.208,2.160
19,0.204,2.160
20,0.216,2.240
21,0.216,2.240
22,0.224,2.280
23,0.224,2.280
24,0.240,2.280
25,0.236,2.280
26,0.248,2.320
27,0.244,2.320
28,0.252,2.360
29,0.248,2.360
30,0.264,2.360
31,0.260,2.360
32,0.272,2.360
33,0.272,2.360
34,0.284,2.400
35,0.276,2.360
36,0.288,2.400
37,0.280,2.360
38,0.292,2.400
39,0.288,2.360
40,0.296,2.400
41,0.292,2.360
42,0.304,2.360
43,0.296,2.320
44,0.308,2.360
45,0.300,2.320
46,0.312,2.320
47,0.304,2.280
48,0.316,2.320
49,0.308,2.240
50,0.316,2.280
51,0.312,2.200
52,0.320,2.240
53,0.308,2.160
54,0.320,2.200
55,0.304,2.080
56,0.316,2.160
57,0.308,2.040
58,0.316,2.120
59,0.308,2.000
60,0.316,2.040
61,0.304,1.920
62,0.316,2.000
63,0.300,1.840
64,0.308,1.920
65,0.300,1.760
66,0.304,1.840
67,0.292,1.680
68,0.308,1.760
69,0.288,1.600
70,0.300,1.680
71,0.280,1.520
72,0.296,1.600
73,0.280,1.440
74,0.288,1.520
75,0.272,1.320
76,0.284,1.400
77,0.264,1.240
78,0.276,1.320
79,0.252,1.120
80,0.268,1.240
81,0.244,1.040
82,0.256,1.120
83,0.236,0.920
84,0.248,1.040
85,0.224,0.800
86,0.240,0.920
87,0.216,0.720
88,0.232,0.800
89,0.204,0.600
90,0.216,0.720
91,0.196,0.480
92,0.208,0.600
93,0.180,0.360
94,0.196,0.480
95,0.172,0.280
96,0.184,0.360
97,0.152,0.120
98,0.172,0.240
99,0.144,0.040
100,0.156,0.120
101,0.132,-0.080
102,0.148,0.000
103,0.116,-0.200
104,0.136,-0.080
105,0.104,-0.320
106,0.120,-0.200
107,0.084,-0.440
108,0.104,-0.320
109,0.076,-0.560
110,0.088,-0.440
111,0.060,-0.680
112,0.076,-0.560
113,0.044,-0.800
114,0.064,-0.680
115,0.032,-0.880
116,0.048,-0.800
117,0.020,-1.000
118,0.032,-0.880
119,0.000,-1.120
120,0.016,-1.000
121,-0.012,-1.200
122,0.004,-1.120
123,-0.036,-1.320
124,-0.012,-1.240
125,-0.044,-1.400
126,-0.024,-1.320
127,-0.060,-1.520
128,-0.040,-1.440
129,-0.072,-1.600
130,-0.056,-1.520
131,-0.088,-1.680
132,-0.068,-1.600
133,-0.104,-1.800
134,-0.084,-1.680
135,-0.116,-1.840
136,-0.096,-1.760
137,-0.132,-1.920
138,-0.112,-1.840
139,-0.144,-2.000
140,-0.124,-1.920
141,-0.156,-2.080
142,-0.148,-2.000
143,-0.168,-2.120
144,-0.156,-2.080
145,-0.180,-2.200
146,-0.168,-2.160
147,-0.196,-2.240
148,-0.180,-2.200
149,-0.208,-2.280
150,-0.192,-2.240
151,-0.220,-2.360
152,-0.204,-2.320
153,-0.228,-2.400
154,-0.212,-2.360
155,-0.240,-2.440
156,-0.220,-2.400
157,-0.252,-2.440
158,-0.236,-2.440
159,-0.256,-2.480
160,-0.244,-2.440
161,-0.264,-2.480
162,-0.252,-2.480
163,-0.272,-2.520
164,-0.260,-2.480
165,-0.280,-2.520
166,-0.268,-2.480
167,-0.288,-2.520
168,-0.276,-2.520
169,-0.292,-2.520
170,-0.284,-2.520
171,-0.300,-2.520
172,-0.288,-2.480
173,-0.304,-2.480
174,-0.296,-2.480
175,-0.308,-2.480
176,-0.300,-2.480
177,-0.312,-2.440
178,-0.300,-2.440
179,-0.316,-2.440
180,-0.300,-2.400
181,-0.316,-2.400
182,-0.304,-2.360
183,-0.316,-2.360
184,-0.308,-2.320
185,-0.320,-2.320
186,-0.308,-2.280
187,-0.320,-2.280
188,-0.308,-2.240
189,-0.316,-2.240
190,-0.308,-2.160
191,-0.316,-2.160
192,-0.308,-2.120
193,-0.316,-2.120
194,-0.308,-2.040
195,-0.312,-2.040
196,-0.304,-1.960
197,-0.308,-1.960
198,-0.296,-1.880
199,-0.304,-1.880
200,-0.296,-1.800
201,-0.300,-1.800
202,-0.292,-1.720
203,-0.296,-1.720
204,-0.280,-1.640
205,-0.284,-1.640
206,-0.276,-1.560
207,-0.284,-1.560
208,-0.272,-1.480
209,-0.276,-1.440
210,-0.264,-1.360
211,-0.268,-1.360
212,-0.252,-1.240
213,-0.256,-1.240
214,-0.244,-1.160
215,-0.248,-1.160
216,-0.236,-1.040
217,-0.240,-1.040
218,-0.228,-0.960
219,-0.228,-0.920
220,-0.216,-0.840
221,-0.220,-0.840
222,-0.204,-0.720
223,-0.204,-0.720
224,-0.196,-0.600
225,-0.196,-0.600
226,-0.184,-0.480
227,-0.184,-0.480
228,-0.172,-0.360
229,-0.168,-0.360
230,-0.156,-0.240
231,-0.152,-0.240
232,-0.144,-0.160
233,-0.140,-0.120
234,-0.128,-0.040
235,-0.136,0.000
236,-0.116,0.080
237,-0.120,0.080
238,-0.104,0.200
239,-0.104,0.200
240,-0.084,0.320
241,-0.088,0.320
242,-0.076,0.440
243,-0.080,0.440
244,-0.060,0.560
245,-0.064,0.560
246,-0.040,0.640
247,-0.048,0.680
248,-0.024,0.760
249,-0.032,0.800
250,-0.012,0.880
251,-0.016,0.880
252,0.000,1.000
253,-0.004,1.000
254,0.012,1.080
255,0.016,1.080
256,0.032,1.200
257,0.028,1.200
258,0.044,1.280
259,0.044,1.320
260,0.060,1.400
261,0.052,1.400
262,0.072,1.480
263,0.072,1.480
264,0.092,1.560
265,0.088,1.560
266,0.104,1.640
267,0.104,1.680
268,0.120,1.720
269,0.112,1.720
270,0.132,1.800
271,0.124,1.840
272,0.144,1.880
273,0.144,1.880
274,0.160,1.960
275,0.156,1.960
276,0.172,2.000
277,0.172,2.000
278,0.184,2.080
279,0.180,2.080
280,0.192,2.120
281,0.196,2.120
282,0.208,2.160
283,0.208,2.200
284,0.220,2.240
285,0.216,2.240
286,0.228,2.280
287,0.224,2.280
288,0.236,2.280
289,0.236,2.280
290,0.248,2.320
291,0.248,2.320
292,0.260,2.360
293,0.256,2.360
294,0.264,2.360
295,0.260,2.360
296,0.272,2.360
297,0.268,2.360
298,0.284,2.400
299,0.276,2.360
300,0.288,2.400
301,0.284,2.360
302,0.292,2.400
303,0.288,2.360
304,0.296,2.400
305,0.292,2.360
306,0.304,2.360
307,0.300,2.320
308,0.312,2.360
309,0.300,2.320
310,0.312,2.320
311,0.304,2.280
312,0.312,2.320
313,0.304,2.240
314,0.316,2.280
315,0.308,2.200
316,0.316,2.240
317,0.308,2.160
318,0.320,2.200
319,0.304,2.080
320,0.316,2.160
321,0.308,2.040
322,0.316,2.080
323,0.304,1.960
324,0.316,2.040
325,0.304,1.920
326,0.316,1.960
327,0.300,1.840
328,0.312,1.920
329,0.292,1.760
330,0.312,1.840
331,0.288,1.680
332,0.312,1.760
333,0.284,1.600
334,0.312,1.680
335,0.284,1.520
336,0.292,1.600
337,0.264,1.400
338,0.292,1.520
339,0.256,1.320
340,0.292,1.400
341,0.260,1.240
342,0.276,1.320
343,0.256,1.120
344,0.264,1.240
345,0.244,1.040
346,0.256,1.120
347,0.232,0.920
348,0.248,1.000
349,0.224,0.800
350,0.240,0.920
351,0.216,0.720
352,0.232,0.800
353,0.200,0.600
354,0.220,0.680
355,0.192,0.480
356,0.204,0.600
357,0.184,0.360
358,0.192,0.480
359,0.168,0.240
360,0.184,0.360
361,0.152,0.120
362,0.172,0.240
363,0.140,0.000
364,0.160,0.120
365,0.128,-0.120
366,0.140,0.000
367,0.120,-0.200
368,0.132,-0.120
369,0.100,-0.320
370,0.120,-0.200
371,0.088,-0.440
372,0.104,-0.360
373,0.072,-0.560
374,0.088,-0.440
375,0.060,-0.680
376,0.076,-0.560
377,0.048,-0.800
378,0.064,-0.680
379,0.024,-0.880
380,0.048,-0.800
381,0.012,-1.000
382,0.028,-0.920
383,-0.004,-1.120
384,0.016,-1.000
385,-0.012,-1.200
386,0.004,-1.120
387,-0.032,-1.320
388,-0.012,-1.240
389,-0.044,-1.440
390,-0.028,-1.320
391,-0.060,-1.520
392,-0.044,-1.440
393,-0.072,-1.600
394,-0.060,-1.520
395,-0.092,-1.680
396,-0.072,-1.600
397,-0.104,-1.800
398,-0.084,-1.720
399,-0.116,-1.880
400,-0.104,-1.800
401,-0.132,-1.960
402,-0.116,-1.880
403,-0.144,-2.000
404,-0.128,-1.960
405,-0.160,-2.080
406,-0.144,-2.000
407,-0.172,-2.160
408,-0.156,-2.080
409,-0.184,-2.200
410,-0.172,-2.160
411,-0.192,-2.240
412,-0.176,-2.200
413,-0.208,-2.320
414,-0.192,-2.280
415,-0.220,-2.360
416,-0.204,-2.320
417,-0.232,-2.400
418,-0.216,-2.360
419,-0.240,-2.440
420,-0.224,-2.400
421,-0.248,-2.440
422,-0.232,-2.440
423,-0.260,-2.480
424,-0.244,-2.440
425,-0.264,-2.480
426,-0.252,-2.480
427,-0.272,-2.520
428,-0.264,-2.480
429,-0.280,-2.520
430,-0.272,-2.480
431,-0.292,-2.520
432,-0.280,-2.520
433,-0.296,-2.520
434,-0.280,-2.520
435,-0.296,-2.520
436,-0.288,-2.480
437,-0.304,-2.520
438,-0.292,-2.480
439,-0.312,-2.480
440,-0.300,-2.440
441,-0.316,-2.440
442,-0.304,-2.440
