,CH2(Unit:V),CH3(Unit:V)
Frequency:,45.000 kHz,45.000 kHz
Period:,22.222 uS,22.222 uS
PK-PK:,152mV,5.00V
1,-0.012,2.360
2,-0.004,2.360
3,-0.016,2.320
4,-0.012,2.360
5,-0.020,2.320
6,-0.016,2.320
7,-0.024,2.280
8,-0.008,2.320
9,-0.020,2.240
10,-0.012,2.280
11,-0.028,2.240
12,-0.020,2.240
13,-0.024,2.200
14,-0.016,2.240
15,-0.028,2.160
16,-0.016,2.200
17,-0.028,2.120
18,-0.020,2.160
19,-0.032,2.080
20,-0.024,2.120
21,-0.036,2.080
22,-0.028,2.080
23,-0.032,2.000
24,-0.024,2.080
25,-0.036,2.000
26,-0.024,2.040
27,-0.036,1.960
28,-0.028,2.000
29,-0.044,1.920
30,-0.028,1.960
31,-0.040,1.880
32,-0.032,1.920
33,-0.040,1.800
34,-0.032,1.840
35,-0.040,1.760
36,-0.032,1.800
37,-0.044,1.720
38,-0.036,1.760
39,-0.048,1.680
40,-0.036,1.720
41,-0.048,1.600
42,-0.036,1.680
43,-0.044,1.560
44,-0.040,1.600
45,-0.052,1.520
46,-0.044,1.560
47,-0.052,1.480
48,-0.040,1.520
49,-0.056,1.400
50,-0.044,1.440
51,-0.052,1.320
52,-0.044,1.400
53,-0.056,1.280
54,-0.044,1.320
55,-0.060,1.240
56,-0.048,1.280
57,-0.056,1.160
58,-0.048,1.200
59,-0.056,1.080
60,-0.052,1.160
61,-0.060,1.040
62,-0.048,1.080
63,-0.060,0.960
64,-0.052,1.040
65,-0.064,0.920
66,-0.052,0.960
67,-0.060,0.840
68,-0.052,0.920
69,-0.064,0.800
70,-0.052,0.840
71,-0.064,0.720
72,-0.052,0.760
73,-0.064,0.640
74,-0.056,0.720
75,-0.064,0.560
76,-0.056,0.640
77,-0.064,0.520
78,-0.056,0.560
79,-0.068,0.440
80,-0.052,0.520
81,-0.068,0.360
82,-0.056,0.440
83,-0.080,0.320
84,-0.048,0.360
85,-0.068,0.240
86,-0.052,0.280
87,-0.072,0.160
88,-0.048,0.240
89,-0.068,0.080
90,-0.060,0.160
91,-0.068,0.000
92,-0.060,0.080
93,-0.068,-0.040
94,-0.060,0.000
95,-0.068,-0.120
96,-0.060,-0.040
97,-0.068,-0.200
98,-0.060,-0.120
99,-0.068,-0.280
100,-0.060,-0.200
101,-0.068,-0.320
102,-0.056,-0.280
103,-0.068,-0.400
104,-0.060,-0.320
105,-0.068,-0.480
106,-0.060,-0.400
107,-0.068,-0.560
108,-0.060,-0.480
109,-0.068,-0.600
110,-0.060,-0.560
111,-0.068,-0.680
112,-0.056,-0.600
113,-0.068,-0.760
114,-0.056,-0.680
115,-0.068,-0.800
116,-0.060,-0.760
117,-0.072,-0.880
118,-0.052,-0.840
119,-0.068,-0.960
120,-0.044,-0.880
121,-0.068,-1.000
122,-0.056,-0.960
123,-0.064,-1.080
124,-0.056,-1.040
125,-0.068,-1.160
126,-0.056,-1.080
127,-0.072,-1.200
128,-0.052,-1.160
129,-0.064,-1.280
130,-0.048,-1.200
131,-0.060,-1.320
132,-0.052,-1.280
133,-0.064,-1.400
134,-0.052,-1.360
135,-0.060,-1.440
136,-0.048,-1.400
137,-0.060,-1.520
138,-0.048,-1.440
139,-0.060,-1.560
140,-0.052,-1.520
141,-0.056,-1.600
142,-0.048,-1.560
143,-0.056,-1.680
144,-0.048,-1.640
145,-0.056,-1.720
146,-0.044,-1.680
147,-0.056,-1.800
148,-0.044,-1.720
149,-0.052,-1.840
150,-0.044,-1.800
151,-0.052,-1.880
152,-0.044,-1.840
