,CH2(Unit:V),CH3(Unit:V)
Frequency:,59.000 kHz,59.000 kHz
Period:,16.949 uS,16.949 uS
PK-PK:,248mV,5.00V
1,-0.116,-2.560
2,-0.104,-2.520
3,-0.112,-2.520
4,-0.108,-2.520
5,-0.120,-2.520
6,-0.104,-2.520
7,-0.116,-2.520
8,-0.108,-2.520
9,-0.112,-2.520
10,-0.104,-2.480
11,-0.108,-2.480
12,-0.104,-2.440
13,-0.108,-2.480
14,-0.100,-2.440
15,-0.112,-2.440
16,-0.100,-2.400
17,-0.112,-2.400
18,-0.096,-2.360
19,-0.104,-2.400
20,-0.092,-2.360
21,-0.100,-2.360
22,-0.096,-2.320
23,-0.104,-2.320
24,-0.088,-2.280
25,-0.100,-2.280
26,-0.092,-2.240
27,-0.096,-2.240
28,-0.088,-2.160
29,-0.092,-2.160
30,-0.084,-2.120
31,-0.092,-2.120
32,-0.080,-2.080
33,-0.088,-2.080
34,-0.080,-2.040
35,-0.088,-2.000
36,-0.076,-1.960
37,-0.084,-1.960
38,-0.068,-1.920
39,-0.080,-1.880
40,-0.068,-1.840
41,-0.080,-1.840
42,-0.068,-1.760
43,-0.076,-1.760
44,-0.064,-1.720
45,-0.072,-1.720
46,-0.060,-1.640
47,-0.064,-1.640
48,-0.056,-1.560
49,-0.064,-1.560
50,-0.052,-1.480
51,-0.060,-1.480
52,-0.052,-1.400
53,-0.056,-1.400
54,-0.044,-1.360
55,-0.052,-1.320
56,-0.040,-1.240
57,-0.048,-1.240
58,-0.040,-1.200
59,-0.044,-1.160
60,-0.036,-1.080
61,-0.040,-1.080
62,-0.028,-1.000
63,-0.040,-1.000
64,-0.024,-0.920
65,-0.032,-0.920
66,-0.020,-0.840
67,-0.028,-0.840
68,-0.016,-0.760
69,-0.028,-0.760
70,-0.012,-0.680
71,-0.020,-0.640
72,-0.008,-0.560
73,-0.016,-0.560
74,-0.004,-0.480
75,-0.012,-0.480
76,-0.004,-0.400
77,-0.012,-0.400
78,0.004,-0.320
79,-0.004,-0.280
80,0.008,-0.200
81,0.004,-0.200
82,0.008,-0.120
83,0.004,-0.120
84,0.016,-0.040
85,0.008,0.000
86,0.020,0.080
87,0.012,0.080
88,0.024,0.160
89,0.020,0.160
90,0.028,0.240
91,0.020,0.240
92,0.036,0.360
93,0.024,0.360
94,0.032,0.440
95,0.032,0.440
96,0.044,0.520
97,0.036,0.520
98,0.048,0.600
99,0.036,0.600
100,0.048,0.680
101,0.040,0.720
102,0.048,0.760
103,0.044,0.800
104,0.056,0.880
105,0.048,0.880
106,0.064,0.960
107,0.056,0.960
108,0.064,1.040
109,0.056,1.040
110,0.064,1.120
111,0.060,1.120
112,0.068,1.200
113,0.064,1.200
114,0.076,1.280
115,0.068,1.280
116,0.080,1.360
117,0.068,1.360
118,0.080,1.440
119,0.072,1.440
120,0.084,1.480
121,0.076,1.520
122,0.088,1.560
123,0.080,1.560
124,0.092,1.640
125,0.080,1.640
126,0.096,1.720
127,0.084,1.720
128,0.092,1.760
129,0.084,1.760
130,0.100,1.840
131,0.092,1.840
132,0.100,1.880
133,0.092,1.880
134,0.100,1.920
135,0.092,1.920
136,0.104,2.000
137,0.092,2.000
138,0.104,2.040
139,0.100,2.040
140,0.112,2.080
141,0.104,2.080
142,0.112,2.120
143,0.096,2.120
144,0.112,2.160
145,0.100,2.160
146,0.112,2.200
147,0.104,2.200
148,0.112,2.240
149,0.108,2.240
150,0.116,2.280
151,0.108,2.280
152,0.116,2.320
153,0.104,2.320
154,0.116,2.320
155,0.104,2.320
156,0.120,2.360
157,0.108,2.360
158,0.120,2.360
159,0.108,2.360
160,0.120,2.400
161,0.108,2.400
162,0.116,2.400
163,0.108,2.400
164,0.120,2.400
165,0.112,2.400
166,0.120,2.400
167,0.112,2.400
168,0.120,2.400
169,0.108,2.400
170,0.116,2.400
171,0.108,2.400
172,0.116,2.400
173,0.104,2.400
174,0.116,2.400
175,0.108,2.400
176,0.116,2.400
177,0.104,2.360
178,0.116,2.400
179,0.100,2.360
180,0.112,2.360
181,0.104,2.320
182,0.112,2.360
183,0.100,2.320
184,0.112,2.320
185,0.096,2.280
186,0.112,2.320
187,0.096,2.240
188,0.108,2.280
189,0.092,2.200
190,0.104,2.240
191,0.096,2.160
192,0.104,2.200
193,0.092,2.120
194,0.104,2.160
195,0.088,2.080
196,0.100,2.120
197,0.084,2.040
198,0.096,2.080
199,0.072,2.000
200,0.104,2.040
201,0.076,1.920
202,0.104,2.000
203,0.076,1.880
204,0.092,1.920
205,0.076,1.840
206,0.088,1.880
207,0.072,1.760
208,0.080,1.840
209,0.072,1.720
210,0.080,1.760
211,0.064,1.640
212,0.076,1.680
213,0.064,1.560
214,0.072,1.640
215,0.060,1.480
216,0.068,1.560
217,0.056,1.440
218,0.068,1.480
219,0.052,1.360
220,0.064,1.440
221,0.048,1.280
222,0.060,1.360
223,0.044,1.200
