,CH2(Unit:V),CH3(Unit:V)
Frequency:,93.000 kHz,93.000 kHz
Period:,10.753 uS,10.753 uS
PK-PK:,176mV,5.00V
1,0.072,0.440
2,0.084,0.560
3,0.072,0.280
4,0.080,0.400
5,0.072,0.160
6,0.080,0.280
7,0.068,0.000
8,0.076,0.120
9,0.064,-0.160
10,0.076,-0.040
11,0.060,-0.320
12,0.072,-0.160
13,0.060,-0.440
14,0.068,-0.320
15,0.056,-0.600
16,0.068,-0.440
17,0.056,-0.720
18,0.068,-0.600
19,0.052,-0.880
20,0.064,-0.760
21,0.048,-1.000
22,0.056,-0.880
23,0.044,-1.160
24,0.052,-1.000
25,0.040,-1.280
26,0.052,-1.160
27,0.036,-1.400
28,0.048,-1.280
29,0.032,-1.520
30,0.040,-1.400
31,0.028,-1.640
32,0.036,-1.520
33,0.024,-1.760
34,0.036,-1.640
35,0.020,-1.880
36,0.032,-1.760
37,0.016,-1.960
38,0.028,-1.880
39,0.008,-2.040
40,0.020,-1.960
41,0.000,-2.120
42,0.016,-2.040
43,0.000,-2.200
44,0.012,-2.120
45,-0.004,-2.280
46,0.004,-2.240
47,-0.008,-2.360
48,0.000,-2.280
49,-0.012,-2.400
50,-0.004,-2.360
51,-0.016,-2.440
52,-0.004,-2.400
53,-0.020,-2.480
54,-0.012,-2.440
55,-0.028,-2.520
56,-0.020,-2.480
57,-0.032,-2.560
58,-0.020,-2.520
59,-0.036,-2.560
60,-0.024,-2.560
61,-0.040,-2.560
62,-0.028,-2.560
63,-0.044,-2.560
64,-0.032,-2.560
65,-0.048,-2.560
66,-0.040,-2.560
67,-0.048,-2.560
68,-0.040,-2.520
69,-0.056,-2.520
70,-0.044,-2.520
71,-0.064,-2.520
72,-0.048,-2.480
73,-0.064,-2.480
74,-0.052,-2.440
75,-0.064,-2.440
76,-0.056,-2.360
77,-0.068,-2.360
78,-0.056,-2.320
79,-0.072,-2.320
80,-0.064,-2.240
81,-0.076,-2.240
82,-0.064,-2.160
83,-0.076,-2.160
84,-0.064,-2.080
85,-0.076,-2.080
86,-0.068,-2.000
87,-0.080,-2.000
88,-0.072,-1.920
89,-0.080,-1.880
90,-0.072,-1.800
91,-0.084,-1.800
92,-0.072,-1.680
93,-0.084,-1.680
94,-0.072,-1.600
95,-0.084,-1.560
96,-0.076,-1.480
97,-0.088,-1.440
98,-0.072,-1.360
99,-0.088,-1.320
100,-0.072,-1.200
101,-0.084,-1.200
102,-0.076,-1.080
103,-0.080,-1.080
104,-0.072,-0.920
105,-0.084,-0.920
106,-0.076,-0.800
107,-0.084,-0.800
108,-0.076,-0.640
109,-0.080,-0.640
110,-0.072,-0.520
111,-0.080,-0.520
112,-0.068,-0.360
113,-0.076,-0.360
114,-0.068,-0.240
115,-0.080,-0.240
116,-0.068,-0.080
117,-0.076,-0.080
118,-0.064,0.040
119,-0.068,0.080
120,-0.060,0.200
121,-0.072,0.200
122,-0.060,0.360
123,-0.068,0.360
124,-0.056,0.480
125,-0.064,0.520
126,-0.052,0.640
127,-0.060,0.640
128,-0.052,0.760
129,-0.056,0.800
130,-0.048,0.920
131,-0.052,0.920
132,-0.044,1.040
133,-0.048,1.040
134,-0.040,1.200
135,-0.044,1.200
136,-0.036,1.320
137,-0.040,1.320
138,-0.032,1.400
139,-0.036,1.440
140,-0.024,1.560
141,-0.032,1.560
142,-0.024,1.640
143,-0.028,1.640
144,-0.020,1.760
145,-0.024,1.760
146,-0.012,1.840
147,-0.016,1.840
148,-0.004,1.920
149,-0.016,1.960
150,0.000,2.040
151,-0.008,2.040
152,0.000,2.120
153,-0.008,2.120
154,0.008,2.160
155,0.000,2.160
156,0.008,2.240
157,0.000,2.240
158,0.016,2.280
159,0.008,2.280
160,0.016,2.320
161,0.012,2.320
162,0.024,2.360
163,0.016,2.360
164,0.032,2.400
165,0.024,2.400
166,0.032,2.440
167,0.028,2.400
168,0.036,2.440
169,0.032,2.440
170,0.044,2.440
171,0.036,2.440
172,0.048,2.440
173,0.036,2.400
174,0.052,2.440
175,0.044,2.400
176,0.052,2.440
177,0.048,2.360
178,0.056,2.400
179,0.052,2.320
180,0.060,2.360
181,0.056,2.280
182,0.064,2.320
183,0.056,2.240
184,0.068,2.280
185,0.060,2.160
186,0.068,2.240
187,0.064,2.080
188,0.072,2.160
189,0.064,2.040
190,0.076,2.080
191,0.068,1.920
192,0.076,2.000
193,0.068,1.840
194,0.076,1.920
195,0.072,1.760
196,0.080,1.840
197,0.072,1.640
198,0.084,1.720
199,0.076,1.520
200,0.084,1.640
201,0.076,1.440
202,0.084,1.520
203,0.072,1.320
204,0.084,1.440
205,0.076,1.200
206,0.088,1.280
207,0.076,1.040
208,0.084,1.160
209,0.076,0.920
210,0.084,1.040
211,0.072,0.760
212,0.084,0.920
213,0.076,0.640
214,0.084,0.760
215,0.076,0.480
216,0.084,0.640
217,0.072,0.360
218,0.080,0.480
219,0.068,0.200
220,0.080,0.360
221,0.068,0.080
222,0.080,0.200
223,0.068,-0.080
224,0.076,0.080
225,0.064,-0.240
226,0.076,-0.080
227,0.060,-0.360
228,0.072,-0.240
229,0.056,-0.520
230,0.072,-0.400
231,0.060,-0.680
232,0.068,-0.520
233,0.056,-0.800
234,0.064,-0.680
235,0.048,-0.960
236,0.060,-0.800
237,0.044,-1.080
238,0.056,-0.960
239,0.044,-1.200
240,0.052,-1.080
241,0.040,-1.320
242,0.052,-1.240
243,0.036,-1.440
244,0.044,-1.360
245,0.028,-1.560
246,0.036,-1.480
247,0.028,-1.680
248,0.036,-1.600
249,0.024,-1.800
250,0.032,-1.720
251,0.016,-1.920
252,0.028,-1.800
253,0.012,-2.000
254,0.024,-1.920
255,0.008,-2.080
256,0.016,-2.000
257,0.008,-2.160
258,0.016,-2.080
259,-0.004,-2.240
260,0.012,-2.160
261,-0.004,-2.320
262,0.004,-2.240
263,-0.012,-2.400
264,0.000,-2.320
265,-0.016,-2.440
266,-0.004,-2.360
267,-0.016,-2.480
268,-0.008,-2.440
269,-0.028,-2.520
270,-0.012,-2.480
271,-0.028,-2.520
272,-0.020,-2.520
273,-0.032,-2.560
274,-0.024,-2.520
275,-0.036,-2.560
276,-0.028,-2.560
277,-0.040,-2.560
278,-0.032,-2.560
279,-0.048,-2.560
280,-0.036,-2.560
281,-0.048,-2.560
282,-0.040,-2.560
283,-0.052,-2.560
284,-0.036,-2.520
285,-0.060,-2.520
286,-0.044,-2.480
287,-0.060,-2.480
288,-0.048,-2.440
289,-0.064,-2.440
290,-0.056,-2.400
291,-0.064,-2.400
292,-0.056,-2.360
293,-0.068,-2.360
294,-0.056,-2.280
295,-0.072,-2.280
296,-0.060,-2.200
297,-0.076,-2.200
298,-0.068,-2.120
299,-0.076,-2.120
300,-0.068,-2.040
301,-0.076,-2.040
302,-0.068,-1.960
303,-0.080,-1.960
304,-0.072,-1.840
305,-0.080,-1.840
306,-0.072,-1.760
307,-0.080,-1.760
308,-0.076,-1.640
309,-0.084,-1.640
310,-0.072,-1.520
311,-0.084,-1.520
312,-0.072,-1.400
313,-0.088,-1.400
314,-0.076,-1.280
315,-0.084,-1.280
316,-0.076,-1.160
317,-0.084,-1.120
318,-0.076,-1.000
319,-0.080,-1.000
320,-0.076,-0.880
321,-0.084,-0.880
322,-0.076,-0.760
323,-0.084,-0.720
324,-0.072,-0.600
325,-0.080,-0.600
326,-0.072,-0.440
327,-0.080,-0.440
328,-0.068,-0.320
329,-0.076,-0.280
330,-0.068,-0.160
331,-0.076,-0.160
332,-0.068,0.000
333,-0.072,0.000
334,-0.064,0.120
335,-0.068,0.160
336,-0.060,0.280
337,-0.068,0.280
338,-0.056,0.400
339,-0.068,0.440
340,-0.056,0.560
341,-0.064,0.560
342,-0.044,0.680
343,-0.064,0.720
344,-0.048,0.840
345,-0.056,0.840
346,-0.044,0.960
347,-0.052,1.000
348,-0.044,1.120
349,-0.048,1.120
350,-0.040,1.240
351,-0.044,1.240
352,-0.028,1.360
353,-0.040,1.360
354,-0.028,1.480
355,-0.036,1.480
356,-0.024,1.600
357,-0.028,1.600
358,-0.024,1.680
359,-0.028,1.680
360,-0.016,1.800
361,-0.024,1.800
362,-0.008,1.880
363,-0.016,1.880
364,-0.004,1.960
365,-0.012,2.000
366,-0.004,2.080
367,-0.008,2.080
368,0.004,2.120
369,-0.012,2.120
370,0.012,2.200
371,0.000,2.200
372,0.020,2.280
373,0.000,2.280
374,0.020,2.320
375,0.008,2.320
376,0.024,2.360
377,0.012,2.360
378,0.036,2.400
379,0.020,2.400
380,0.032,2.400
381,0.028,2.400
382,0.036,2.440
383,0.028,2.440
384,0.040,2.440
385,0.032,2.440
386,0.044,2.440
387,0.036,2.440
388,0.048,2.440
389,0.040,2.400
390,0.048,2.440
391,0.044,2.400
392,0.056,2.400
393,0.048,2.360
394,0.060,2.400
395,0.056,2.320
396,0.060,2.360
397,0.056,2.280
398,0.068,2.320
399,0.056,2.200
400,0.068,2.240
401,0.056,2.120
402,0.072,2.200
403,0.068,2.080
404,0.072,2.120
405,0.068,2.000
406,0.076,2.080
407,0.068,1.880
408,0.076,1.960
409,0.068,1.800
410,0.080,1.880
411,0.072,1.720
412,0.080,1.800
413,0.076,1.600
414,0.084,1.680
415,0.072,1.480
416,0.084,1.600
417,0.072,1.360
418,0.084,1.480
419,0.076,1.240
420,0.084,1.360
421,0.076,1.120
422,0.084,1.240
423,0.072,1.000
424,0.088,1.120
425,0.076,0.840
426,0.084,0.960
427,0.076,0.720
428,0.084,0.840
429,0.076,0.600
430,0.084,0.720
431,0.072,0.440
432,0.084,0.560
433,0.072,0.280
434,0.084,0.440
435,0.072,0.160
436,0.076,0.280
437,0.068,0.000
438,0.076,0.120
439,0.068,-0.160
440,0.076,0.000
441,0.060,-0.280
442,0.076,-0.160
443,0.060,-0.440
444,0.068,-0.320
445,0.060,-0.560
446,0.064,-0.440
447,0.056,-0.720
448,0.068,-0.600
449,0.052,-0.840
450,0.064,-0.720
451,0.048,-1.000
452,0.060,-0.880
453,0.044,-1.120
454,0.056,-1.000
455,0.040,-1.280
456,0.052,-1.160
457,0.036,-1.400
458,0.048,-1.280
459,0.032,-1.520
460,0.044,-1.400
461,0.028,-1.640
462,0.036,-1.520
463,0.024,-1.760
464,0.036,-1.640
465,0.020,-1.840
466,0.032,-1.760
467,0.016,-1.960
468,0.024,-1.840
469,0.008,-2.040
470,0.020,-1.960
471,0.004,-2.120
472,0.016,-2.040
473,0.000,-2.200
474,0.016,-2.160
475,-0.004,-2.280
476,0.008,-2.200
477,-0.008,-2.360
478,0.000,-2.280
479,-0.012,-2.400
480,-0.004,-2.360
481,-0.020,-2.440
482,-0.004,-2.400
483,-0.020,-2.480
484,-0.008,-2.440
485,-0.028,-2.520
486,-0.020,-2.480
487,-0.032,-2.560
488,-0.020,-2.520
489,-0.036,-2.560
490,-0.024,-2.560
491,-0.036,-2.560
492,-0.028,-2.560
493,-0.044,-2.560
494,-0.036,-2.560
495,-0.048,-2.560
496,-0.040,-2.560
497,-0.048,-2.560
498,-0.044,-2.520
499,-0.052,-2.520
500,-0.044,-2.520
501,-0.056,-2.520
502,-0.048,-2.480
503,-0.064,-2.480
504,-0.052,-2.440
505,-0.064,-2.440
506,-0.056,-2.400
507,-0.068,-2.360
508,-0.056,-2.320
509,-0.068,-2.320
510,-0.060,-2.240
511,-0.076,-2.240
512,-0.064,-2.160
513,-0.076,-2.160
514,-0.064,-2.120
515,-0.080,-2.080
516,-0.068,-2.000
517,-0.076,-2.000
518,-0.068,-1.920
519,-0.084,-1.920
520,-0.072,-1.800
521,-0.084,-1.800
522,-0.068,-1.720
523,-0.080,-1.680
524,-0.072,-1.600
525,-0.080,-1.560
526,-0.076,-1.480
527,-0.084,-1.480
528,-0.076,-1.360
529,-0.088,-1.320
530,-0.076,-1.200
531,-0.084,-1.200
532,-0.072,-1.080
533,-0.084,-1.080
534,-0.076,-0.960
535,-0.084,-0.960
536,-0.072,-0.800
537,-0.080,-0.800
538,-0.076,-0.680
539,-0.084,-0.680
540,-0.072,-0.520
541,-0.076,-0.520
542,-0.068,-0.400
543,-0.076,-0.360
544,-0.068,-0.240
545,-0.076,-0.240
546,-0.068,-0.080
547,-0.076,-0.080
548,-0.064,0.080
549,-0.072,0.080
550,-0.060,0.200
551,-0.068,0.200
552,-0.060,0.360
553,-0.068,0.360
554,-0.056,0.480
555,-0.064,0.480
556,-0.056,0.640
557,-0.060,0.640
558,-0.048,0.760
559,-0.056,0.760
560,-0.048,0.920
561,-0.052,0.920
562,-0.040,1.040
563,-0.052,1.040
564,-0.040,1.160
565,-0.044,1.160
566,-0.036,1.280
567,-0.040,1.280
568,-0.032,1.400
569,-0.036,1.440
570,-0.028,1.520
571,-0.036,1.520
572,-0.024,1.640
573,-0.032,1.640
574,-0.016,1.760
575,-0.020,1.760
576,-0.012,1.840
577,-0.020,1.840
578,-0.008,1.920
579,-0.016,1.920
580,0.000,2.000
581,-0.012,2.040
582,0.000,2.080
583,-0.004,2.080
584,0.004,2.160
585,0.000,2.160
586,0.012,2.240
587,0.004,2.240
588,0.012,2.280
589,0.004,2.280
590,0.020,2.320
591,0.012,2.320
592,0.020,2.360
593,0.016,2.360
594,0.032,2.400
595,0.024,2.400
596,0.036,2.400
597,0.028,2.400
598,0.036,2.440
599,0.032,2.440
600,0.036,2.440
601,0.036,2.440
602,0.048,2.440
603,0.036,2.400
604,0.048,2.440
605,0.040,2.400
606,0.052,2.440
607,0.048,2.360
608,0.056,2.400
609,0.052,2.320
610,0.060,2.360
611,0.052,2.280
612,0.068,2.320
613,0.056,2.240
614,0.064,2.280
615,0.060,2.160
616,0.068,2.240
617,0.064,2.120
618,0.072,2.160
619,0.064,2.040
620,0.076,2.080
621,0.068,1.960
622,0.076,2.040
623,0.072,1.840
624,0.076,1.920
625,0.068,1.760
626,0.080,1.840
627,0.072,1.640
628,0.084,1.760
629,0.076,1.560
630,0.084,1.640
631,0.072,1.440
632,0.084,1.520
633,0.072,1.320
634,0.084,1.440
635,0.076,1.200
636,0.088,1.320
637,0.076,1.040
638,0.088,1.160
639,0.076,0.920
640,0.084,1.040
641,0.072,0.800
642,0.088,0.920
643,0.072,0.640
644,0.084,0.800
645,0.076,0.520
646,0.084,0.640
647,0.076,0.360
648,0.080,0.520
649,0.068,0.240
650,0.080,0.360
651,0.068,0.080
652,0.080,0.200
653,0.068,-0.080
654,0.076,0.040
655,0.068,-0.240
656,0.076,-0.080
657,0.060,-0.360
658,0.072,-0.240
659,0.056,-0.520
660,0.072,-0.360
661,0.056,-0.640
662,0.068,-0.520
663,0.056,-0.800
664,0.064,-0.640
665,0.048,-0.920
666,0.064,-0.800
667,0.044,-1.080
668,0.056,-0.920
669,0.044,-1.200
670,0.052,-1.080
671,0.044,-1.320
672,0.052,-1.200
673,0.032,-1.440
674,0.048,-1.360
675,0.032,-1.560
676,0.040,-1.440
677,0.024,-1.680
678,0.036,-1.600
679,0.024,-1.800
680,0.032,-1.680
681,0.016,-1.880
682,0.028,-1.800
683,0.012,-2.000
684,0.024,-1.920
685,0.008,-2.080
686,0.020,-2.000
687,0.000,-2.160
688,0.016,-2.080
689,-0.004,-2.240
690,0.016,-2.160
691,-0.012,-2.320
692,0.004,-2.240
693,-0.012,-2.360
694,0.000,-2.320
695,-0.016,-2.440
696,0.000,-2.360
697,-0.016,-2.480
698,-0.008,-2.440
699,-0.024,-2.520
700,-0.012,-2.480
701,-0.028,-2.520
702,-0.020,-2.520
703,-0.032,-2.560
704,-0.024,-2.520
705,-0.036,-2.560
706,-0.024,-2.560
707,-0.044,-2.560
708,-0.032,-2.560
709,-0.044,-2.560
710,-0.036,-2.560
711,-0.052,-2.560
712,-0.036,-2.560
713,-0.056,-2.560
714,-0.040,-2.520
715,-0.056,-2.520
716,-0.044,-2.480
717,-0.060,-2.480
718,-0.052,-2.440
719,-0.064,-2.480
720,-0.056,-2.400
721,-0.068,-2.400
722,-0.056,-2.360
723,-0.068,-2.360
724,-0.056,-2.280
725,-0.072,-2.280
726,-0.064,-2.240
727,-0.072,-2.200
728,-0.064,-2.160
729,-0.076,-2.120
730,-0.068,-2.080
731,-0.080,-2.040
732,-0.068,-1.960
733,-0.080,-1.960
734,-0.072,-1.880
735,-0.080,-1.840
736,-0.072,-1.760
737,-0.080,-1.760
738,-0.072,-1.640
739,-0.084,-1.640
740,-0.072,-1.520
741,-0.084,-1.520
742,-0.072,-1.400
743,-0.088,-1.400
744,-0.076,-1.280
745,-0.088,-1.280
746,-0.076,-1.160
747,-0.084,-1.160
748,-0.076,-1.040
749,-0.084,-1.000
750,-0.076,-0.880
