,CH2(Unit:V),CH3(Unit:V)
Frequency:,79.000 kHz,79.000 kHz
Period:,12.658 uS,12.658 uS
PK-PK:,456mV,4.96V
1,-0.156,-0.160
2,-0.144,-0.040
3,-0.152,-0.040
4,-0.136,0.080
5,-0.144,0.080
6,-0.132,0.200
7,-0.132,0.200
8,-0.124,0.320
9,-0.124,0.320
10,-0.112,0.440
11,-0.116,0.440
12,-0.104,0.560
13,-0.108,0.560
14,-0.096,0.680
15,-0.096,0.680
16,-0.088,0.800
17,-0.084,0.800
18,-0.072,0.920
19,-0.072,0.920
20,-0.064,1.040
21,-0.068,1.040
22,-0.056,1.120
23,-0.060,1.120
24,-0.048,1.240
25,-0.048,1.240
26,-0.032,1.320
27,-0.032,1.360
28,-0.024,1.440
29,-0.024,1.440
30,-0.012,1.520
31,-0.016,1.520
32,-0.004,1.640
33,-0.008,1.640
34,0.012,1.720
35,0.004,1.720
36,0.020,1.800
37,0.012,1.800
38,0.028,1.880
39,0.028,1.880
40,0.036,1.960
41,0.036,1.960
42,0.052,2.000
43,0.044,2.040
44,0.064,2.080
45,0.056,2.080
46,0.072,2.120
47,0.068,2.120
48,0.080,2.200
49,0.076,2.200
50,0.092,2.240
51,0.088,2.240
52,0.100,2.280
53,0.092,2.280
54,0.112,2.320
55,0.104,2.320
56,0.116,2.360
57,0.112,2.360
58,0.128,2.360
59,0.124,2.360
60,0.136,2.400
61,0.136,2.400
62,0.144,2.400
63,0.140,2.400
64,0.148,2.400
65,0.148,2.400
66,0.160,2.400
67,0.152,2.400
68,0.168,2.400
69,0.164,2.400
70,0.176,2.400
71,0.172,2.360
72,0.176,2.400
73,0.172,2.360
74,0.180,2.360
75,0.176,2.320
76,0.188,2.360
77,0.188,2.280
78,0.196,2.320
79,0.192,2.240
80,0.200,2.280
81,0.192,2.200
82,0.200,2.240
83,0.192,2.120
84,0.208,2.200
85,0.200,2.080
86,0.212,2.120
87,0.204,2.000
88,0.212,2.080
89,0.204,1.960
90,0.216,2.000
91,0.204,1.880
92,0.216,1.960
93,0.200,1.800
94,0.228,1.880
95,0.204,1.720
96,0.224,1.800
97,0.208,1.640
98,0.220,1.720
99,0.204,1.520
100,0.216,1.640
101,0.200,1.440
102,0.216,1.520
103,0.204,1.320
104,0.216,1.440
105,0.200,1.240
106,0.216,1.320
107,0.196,1.120
108,0.204,1.240
109,0.196,1.040
110,0.208,1.120
111,0.196,0.920
112,0.204,1.000
113,0.192,0.800
114,0.204,0.920
115,0.184,0.680
116,0.196,0.800
117,0.180,0.560
118,0.188,0.680
119,0.176,0.440
120,0.184,0.560
121,0.172,0.320
122,0.180,0.440
123,0.160,0.200
124,0.172,0.320
125,0.152,0.080
126,0.164,0.200
127,0.148,-0.040
128,0.160,0.080
129,0.144,-0.160
130,0.152,-0.040
131,0.128,-0.280
132,0.144,-0.160
133,0.124,-0.400
134,0.140,-0.320
135,0.116,-0.520
136,0.124,-0.440
137,0.108,-0.680
138,0.120,-0.560
139,0.096,-0.760
140,0.108,-0.680
141,0.084,-0.880
142,0.100,-0.800
143,0.076,-1.000
144,0.096,-0.880
145,0.068,-1.120
146,0.084,-1.040
147,0.060,-1.240
148,0.076,-1.120
149,0.044,-1.320
150,0.060,-1.240
151,0.036,-1.440
152,0.048,-1.360
153,0.024,-1.520
154,0.040,-1.440
155,0.016,-1.640
156,0.036,-1.560
157,0.008,-1.720
158,0.020,-1.640
159,-0.008,-1.840
160,0.008,-1.760
161,-0.016,-1.920
162,-0.004,-1.840
163,-0.024,-2.000
164,-0.008,-1.920
165,-0.040,-2.080
166,-0.024,-2.000
167,-0.048,-2.120
168,-0.032,-2.080
169,-0.056,-2.200
170,-0.044,-2.120
171,-0.068,-2.240
172,-0.056,-2.200
173,-0.076,-2.320
174,-0.064,-2.280
175,-0.088,-2.360
176,-0.072,-2.320
177,-0.096,-2.400
178,-0.084,-2.360
179,-0.104,-2.440
180,-0.096,-2.400
181,-0.112,-2.480
182,-0.100,-2.440
183,-0.124,-2.520
184,-0.112,-2.480
185,-0.132,-2.520
186,-0.120,-2.520
187,-0.140,-2.520
188,-0.132,-2.520
189,-0.148,-2.560
190,-0.136,-2.520
191,-0.156,-2.560
192,-0.144,-2.560
193,-0.164,-2.560
194,-0.152,-2.520
195,-0.172,-2.560
196,-0.160,-2.520
197,-0.176,-2.520
198,-0.164,-2.520
199,-0.184,-2.520
200,-0.172,-2.480
201,-0.188,-2.480
202,-0.180,-2.480
203,-0.196,-2.480
204,-0.184,-2.440
205,-0.196,-2.440
206,-0.188,-2.400
207,-0.200,-2.400
208,-0.192,-2.360
209,-0.208,-2.320
210,-0.196,-2.280
211,-0.212,-2.280
212,-0.204,-2.240
213,-0.216,-2.240
214,-0.200,-2.160
215,-0.216,-2.160
216,-0.200,-2.120
217,-0.216,-2.120
218,-0.208,-2.040
219,-0.220,-2.040
220,-0.208,-1.960
221,-0.216,-1.960
222,-0.208,-1.880
223,-0.216,-1.880
224,-0.204,-1.800
225,-0.216,-1.760
226,-0.208,-1.680
227,-0.216,-1.680
228,-0.208,-1.600
229,-0.216,-1.600
230,-0.204,-1.480
231,-0.212,-1.480
232,-0.200,-1.400
233,-0.208,-1.400
234,-0.200,-1.280
235,-0.208,-1.280
236,-0.200,-1.200
237,-0.208,-1.160
238,-0.196,-1.080
239,-0.200,-1.080
240,-0.188,-0.960
241,-0.196,-0.960
242,-0.184,-0.840
243,-0.192,-0.840
244,-0.180,-0.720
245,-0.188,-0.720
246,-0.176,-0.600
247,-0.180,-0.600
248,-0.172,-0.480
249,-0.172,-0.480
250,-0.160,-0.360
251,-0.168,-0.360
252,-0.156,-0.240
253,-0.164,-0.240
254,-0.148,-0.120
255,-0.156,-0.120
256,-0.140,0.000
257,-0.144,0.000
258,-0.132,0.120
259,-0.136,0.120
260,-0.128,0.240
261,-0.128,0.240
262,-0.120,0.360
263,-0.120,0.360
264,-0.108,0.480
265,-0.112,0.520
266,-0.100,0.600
267,-0.100,0.600
268,-0.092,0.720
269,-0.104,0.720
270,-0.076,0.840
271,-0.088,0.840
272,-0.072,0.960
273,-0.076,0.960
274,-0.060,1.080
275,-0.060,1.080
276,-0.044,1.160
277,-0.056,1.200
278,-0.040,1.280
279,-0.048,1.280
280,-0.024,1.360
281,-0.036,1.400
282,-0.020,1.480
283,-0.016,1.480
284,-0.008,1.600
285,-0.012,1.560
286,0.004,1.640
287,-0.004,1.680
288,0.008,1.760
289,0.008,1.760
290,0.020,1.840
291,0.024,1.840
292,0.036,1.920
293,0.032,1.920
294,0.048,1.960
295,0.040,1.960
296,0.056,2.040
297,0.052,2.040
298,0.064,2.080
299,0.060,2.120
300,0.076,2.160
301,0.072,2.160
302,0.088,2.200
303,0.080,2.200
304,0.100,2.280
305,0.088,2.240
306,0.104,2.280
307,0.100,2.280
308,0.112,2.320
309,0.112,2.320
310,0.124,2.360
311,0.120,2.360
312,0.132,2.360
313,0.116,2.360
314,0.140,2.400
315,0.132,2.400
316,0.148,2.400
317,0.140,2.400
318,0.156,2.400
319,0.156,2.400
320,0.164,2.400
321,0.156,2.400
322,0.168,2.400
323,0.164,2.360
324,0.176,2.400
325,0.172,2.360
326,0.184,2.400
327,0.176,2.320
328,0.188,2.360
329,0.180,2.280
330,0.192,2.320
331,0.184,2.240
332,0.196,2.280
333,0.188,2.240
334,0.204,2.240
335,0.196,2.160
336,0.208,2.240
337,0.200,2.120
338,0.208,2.160
339,0.200,2.040
340,0.208,2.120
341,0.204,2.000
342,0.212,2.040
343,0.204,1.920
344,0.216,2.000
345,0.204,1.840
346,0.220,1.920
347,0.208,1.760
348,0.216,1.840
349,0.208,1.680
350,0.216,1.760
351,0.208,1.600
352,0.220,1.680
353,0.208,1.480
354,0.220,1.560
355,0.208,1.400
356,0.216,1.480
357,0.204,1.280
358,0.212,1.400
359,0.200,1.200
360,0.212,1.280
361,0.196,1.080
362,0.212,1.200
363,0.196,0.960
364,0.208,1.080
365,0.188,0.880
366,0.200,0.960
367,0.184,0.760
368,0.200,0.840
369,0.184,0.640
370,0.200,0.720
371,0.176,0.520
372,0.188,0.640
373,0.172,0.400
374,0.180,0.480
375,0.160,0.280
376,0.176,0.400
377,0.160,0.160
378,0.168,0.240
379,0.156,0.040
380,0.164,0.120
381,0.140,-0.080
382,0.156,0.000
383,0.136,-0.240
384,0.148,-0.120
385,0.128,-0.360
386,0.144,-0.240
387,0.124,-0.480
388,0.132,-0.360
389,0.108,-0.600
390,0.128,-0.480
391,0.100,-0.720
392,0.112,-0.600
393,0.092,-0.840
394,0.112,-0.720
395,0.084,-0.960
396,0.096,-0.840
397,0.072,-1.040
398,0.088,-0.960
399,0.064,-1.160
400,0.072,-1.080
401,0.052,-1.280
402,0.068,-1.160
403,0.044,-1.400
404,0.060,-1.280
405,0.036,-1.480
406,0.048,-1.400
407,0.020,-1.600
408,0.036,-1.480
409,0.008,-1.680
410,0.024,-1.600
411,0.004,-1.760
412,0.016,-1.680
413,-0.008,-1.840
414,0.008,-1.760
415,-0.024,-1.920
416,-0.004,-1.880
417,-0.028,-2.040
418,-0.020,-1.960
419,-0.040,-2.080
420,-0.024,-2.040
421,-0.048,-2.160
422,-0.036,-2.120
423,-0.064,-2.240
424,-0.044,-2.160
425,-0.072,-2.280
426,-0.056,-2.240
427,-0.080,-2.320
428,-0.072,-2.280
429,-0.088,-2.400
430,-0.080,-2.360
431,-0.104,-2.440
432,-0.088,-2.400
433,-0.112,-2.440
434,-0.096,-2.440
435,-0.116,-2.480
436,-0.108,-2.440
437,-0.128,-2.520
438,-0.116,-2.480
439,-0.132,-2.520
440,-0.120,-2.520
441,-0.148,-2.560
442,-0.132,-2.520
443,-0.152,-2.560
444,-0.144,-2.520
445,-0.160,-2.560
446,-0.148,-2.520
447,-0.164,-2.560
448,-0.156,-2.520
449,-0.176,-2.520
450,-0.160,-2.520
451,-0.180,-2.520
452,-0.172,-2.520
453,-0.184,-2.520
454,-0.176,-2.480
455,-0.188,-2.480
456,-0.176,-2.440
457,-0.196,-2.440
458,-0.184,-2.400
459,-0.200,-2.400
460,-0.192,-2.360
461,-0.204,-2.360
462,-0.192,-2.320
