,CH2(Unit:V),CH3(Unit:V)
Frequency:,69.000 kHz,69.000 kHz
Period:,14.493 uS,14.493 uS
PK-PK:,600mV,4.96V
1,0.280,1.760
2,0.280,1.800
3,0.280,1.680
4,0.280,1.760
5,0.280,1.600
6,0.280,1.640
7,0.280,1.520
8,0.280,1.600
9,0.280,1.400
10,0.280,1.480
11,0.280,1.320
12,0.280,1.400
13,0.280,1.240
14,0.280,1.320
15,0.260,1.120
16,0.280,1.240
17,0.260,1.040
18,0.280,1.120
19,0.260,0.960
20,0.260,1.040
21,0.260,0.840
22,0.260,0.920
23,0.260,0.760
24,0.260,0.840
25,0.240,0.640
26,0.260,0.720
27,0.240,0.560
28,0.240,0.640
29,0.240,0.440
30,0.240,0.520
31,0.220,0.320
32,0.240,0.440
33,0.220,0.240
34,0.220,0.320
35,0.200,0.120
36,0.220,0.200
37,0.200,0.000
38,0.220,0.120
39,0.200,-0.080
40,0.200,0.000
41,0.180,-0.200
42,0.200,-0.120
43,0.180,-0.320
44,0.200,-0.200
45,0.160,-0.400
46,0.180,-0.320
47,0.160,-0.520
48,0.180,-0.440
49,0.140,-0.640
50,0.160,-0.520
51,0.140,-0.720
52,0.140,-0.640
53,0.120,-0.840
54,0.140,-0.760
55,0.120,-0.920
56,0.120,-0.840
57,0.100,-1.040
58,0.120,-0.960
59,0.080,-1.120
60,0.100,-1.040
61,0.080,-1.240
62,0.080,-1.120
63,0.060,-1.320
64,0.080,-1.240
65,0.060,-1.400
66,0.080,-1.320
67,0.040,-1.480
68,0.060,-1.400
69,0.020,-1.560
70,0.040,-1.520
71,0.020,-1.640
72,0.020,-1.600
73,0.000,-1.720
74,0.020,-1.680
75,0.000,-1.800
76,0.020,-1.720
77,-0.020,-1.880
78,0.000,-1.800
79,-0.040,-1.960
80,-0.020,-1.880
81,-0.040,-2.000
82,-0.040,-1.960
83,-0.060,-2.080
84,-0.040,-2.040
85,-0.060,-2.120
86,-0.060,-2.080
87,-0.080,-2.200
88,-0.080,-2.120
89,-0.100,-2.240
90,-0.080,-2.200
91,-0.100,-2.280
92,-0.080,-2.240
93,-0.120,-2.320
94,-0.100,-2.280
95,-0.140,-2.360
96,-0.120,-2.320
97,-0.140,-2.400
98,-0.120,-2.360
99,-0.140,-2.400
100,-0.140,-2.400
101,-0.160,-2.440
102,-0.140,-2.400
103,-0.180,-2.480
104,-0.160,-2.440
105,-0.180,-2.480
106,-0.160,-2.440
107,-0.180,-2.480
108,-0.180,-2.480
109,-0.200,-2.480
110,-0.180,-2.480
111,-0.200,-2.480
112,-0.200,-2.480
113,-0.220,-2.480
114,-0.200,-2.480
115,-0.220,-2.480
116,-0.200,-2.480
117,-0.240,-2.480
118,-0.220,-2.440
119,-0.240,-2.440
120,-0.220,-2.440
121,-0.240,-2.440
122,-0.240,-2.400
123,-0.240,-2.400
124,-0.240,-2.400
125,-0.260,-2.400
126,-0.240,-2.360
127,-0.260,-2.360
128,-0.260,-2.320
129,-0.260,-2.320
130,-0.260,-2.280
131,-0.280,-2.280
132,-0.260,-2.240
133,-0.280,-2.240
134,-0.260,-2.160
135,-0.280,-2.160
136,-0.260,-2.120
137,-0.280,-2.120
138,-0.280,-2.080
139,-0.280,-2.080
140,-0.280,-2.000
141,-0.280,-2.000
142,-0.280,-1.920
143,-0.280,-1.920
144,-0.280,-1.880
145,-0.280,-1.880
146,-0.280,-1.800
147,-0.280,-1.800
148,-0.280,-1.720
149,-0.280,-1.720
150,-0.280,-1.640
151,-0.280,-1.640
152,-0.280,-1.560
153,-0.280,-1.560
154,-0.280,-1.480
155,-0.280,-1.480
156,-0.280,-1.400
157,-0.280,-1.400
158,-0.280,-1.280
159,-0.280,-1.280
160,-0.280,-1.200
161,-0.280,-1.200
162,-0.260,-1.120
163,-0.280,-1.120
164,-0.260,-1.000
165,-0.280,-1.000
166,-0.260,-0.920
167,-0.260,-0.920
168,-0.260,-0.800
169,-0.260,-0.800
170,-0.240,-0.720
171,-0.260,-0.720
172,-0.240,-0.600
173,-0.240,-0.600
174,-0.240,-0.520
175,-0.240,-0.520
176,-0.240,-0.400
177,-0.240,-0.400
178,-0.220,-0.320
179,-0.220,-0.280
180,-0.220,-0.200
181,-0.220,-0.160
182,-0.200,-0.080
183,-0.200,-0.080
184,-0.200,0.040
185,-0.200,0.040
186,-0.180,0.120
187,-0.180,0.160
188,-0.180,0.240
189,-0.180,0.240
190,-0.180,0.360
191,-0.180,0.360
192,-0.160,0.440
193,-0.160,0.480
194,-0.140,0.560
195,-0.160,0.560
196,-0.140,0.680
197,-0.140,0.680
198,-0.140,0.760
199,-0.140,0.760
200,-0.120,0.880
201,-0.120,0.880
