,CH2(Unit:V),CH3(Unit:V)
Frequency:,70.000 kHz,70.000 kHz
Period:,14.286 uS,14.286 uS
PK-PK:,156mV,5.00V
1,0.020,-2.240
2,0.024,-2.120
3,0.012,-2.320
4,0.020,-2.240
5,0.008,-2.400
6,0.012,-2.320
7,0.000,-2.440
8,0.008,-2.400
9,-0.004,-2.480
10,0.000,-2.440
11,-0.016,-2.480
12,-0.004,-2.480
13,-0.016,-2.480
14,-0.012,-2.480
15,-0.024,-2.480
16,-0.016,-2.440
17,-0.032,-2.440
18,-0.024,-2.400
19,-0.036,-2.400
20,-0.028,-2.360
21,-0.040,-2.360
22,-0.036,-2.280
23,-0.044,-2.240
24,-0.040,-2.160
25,-0.052,-2.160
26,-0.048,-2.040
27,-0.052,-2.040
28,-0.052,-1.920
29,-0.060,-1.920
30,-0.052,-1.760
31,-0.060,-1.760
32,-0.056,-1.600
33,-0.068,-1.600
34,-0.060,-1.440
35,-0.068,-1.440
36,-0.064,-1.240
37,-0.072,-1.240
38,-0.064,-1.040
39,-0.072,-1.040
40,-0.068,-0.880
41,-0.072,-0.840
42,-0.068,-0.640
43,-0.076,-0.640
44,-0.068,-0.440
45,-0.072,-0.400
46,-0.068,-0.200
47,-0.072,-0.200
48,-0.068,0.000
49,-0.072,0.000
50,-0.064,0.240
51,-0.072,0.240
52,-0.064,0.440
53,-0.068,0.440
54,-0.064,0.640
55,-0.064,0.680
56,-0.060,0.880
57,-0.060,0.880
58,-0.056,1.080
59,-0.056,1.080
60,-0.056,1.280
61,-0.056,1.280
62,-0.048,1.440
63,-0.048,1.480
64,-0.044,1.640
65,-0.044,1.640
66,-0.036,1.800
67,-0.040,1.800
68,-0.032,1.920
69,-0.040,1.960
70,-0.028,2.080
71,-0.024,2.080
72,-0.024,2.200
73,-0.024,2.200
74,-0.016,2.280
75,-0.016,2.280
76,-0.012,2.360
77,-0.012,2.360
78,-0.008,2.440
79,-0.008,2.440
80,0.004,2.480
81,0.000,2.480
82,0.008,2.520
83,0.008,2.520
84,0.016,2.520
85,0.016,2.520
86,0.020,2.520
87,0.020,2.480
88,0.028,2.520
89,0.028,2.440
90,0.032,2.480
91,0.028,2.360
92,0.040,2.400
93,0.040,2.280
94,0.044,2.360
95,0.040,2.160
96,0.048,2.280
97,0.048,2.040
98,0.052,2.160
99,0.052,1.920
100,0.056,2.040
101,0.056,1.760
102,0.060,1.920
103,0.056,1.600
104,0.064,1.760
105,0.064,1.440
106,0.068,1.600
107,0.064,1.240
108,0.068,1.400
109,0.064,1.040
110,0.072,1.240
111,0.068,0.840
112,0.072,1.000
113,0.068,0.640
114,0.072,0.800
115,0.068,0.400
116,0.076,0.600
117,0.068,0.200
118,0.072,0.400
119,0.068,-0.040
120,0.076,0.160
121,0.068,-0.240
122,0.072,-0.040
123,0.068,-0.480
124,0.072,-0.280
125,0.060,-0.680
126,0.068,-0.480
127,0.060,-0.880
128,0.064,-0.680
129,0.056,-1.080
130,0.060,-0.920
131,0.052,-1.280
132,0.060,-1.120
133,0.048,-1.480
134,0.056,-1.280
135,0.044,-1.640
136,0.048,-1.480
137,0.036,-1.800
138,0.044,-1.640
139,0.036,-1.920
140,0.040,-1.800
141,0.028,-2.080
142,0.036,-1.960
143,0.024,-2.200
144,0.028,-2.080
145,0.016,-2.280
146,0.024,-2.200
147,0.008,-2.360
148,0.012,-2.280
149,0.004,-2.400
150,0.012,-2.360
151,-0.004,-2.440
152,0.000,-2.400
153,-0.008,-2.480
154,0.000,-2.440
155,-0.016,-2.480
156,-0.008,-2.480
157,-0.020,-2.480
158,-0.016,-2.480
159,-0.028,-2.480
160,-0.020,-2.440
161,-0.032,-2.440
162,-0.028,-2.400
163,-0.040,-2.360
164,-0.032,-2.320
165,-0.040,-2.280
166,-0.040,-2.200
167,-0.056,-2.200
168,-0.040,-2.120
169,-0.060,-2.080
170,-0.048,-1.960
171,-0.064,-1.960
172,-0.044,-1.840
173,-0.064,-1.840
174,-0.056,-1.680
175,-0.064,-1.680
176,-0.056,-1.520
177,-0.068,-1.480
178,-0.064,-1.320
179,-0.068,-1.320
180,-0.064,-1.160
181,-0.072,-1.120
182,-0.068,-0.960
183,-0.068,-0.920
184,-0.068,-0.760
185,-0.076,-0.720
186,-0.068,-0.520
187,-0.072,-0.520
188,-0.068,-0.320
189,-0.076,-0.280
190,-0.068,-0.080
191,-0.076,-0.080
192,-0.068,0.120
193,-0.072,0.160
194,-0.068,0.360
195,-0.068,0.360
196,-0.064,0.560
197,-0.064,0.560
198,-0.060,0.760
199,-0.064,0.800
200,-0.060,1.000
201,-0.060,1.000
202,-0.056,1.200
203,-0.056,1.200
204,-0.052,1.360
205,-0.052,1.400
206,-0.044,1.560
207,-0.048,1.560
208,-0.040,1.720
209,-0.044,1.720
210,-0.036,1.880
211,-0.036,1.880
212,-0.032,2.000
213,-0.032,2.040
214,-0.024,2.160
215,-0.028,2.160
216,-0.020,2.240
217,-0.020,2.240
218,-0.012,2.320
219,-0.012,2.360
220,-0.008,2.400
221,-0.008,2.400
222,0.000,2.480
223,0.000,2.480
224,0.004,2.520
225,0.004,2.520
226,0.012,2.520
227,0.012,2.520
228,0.020,2.520
229,0.016,2.480
230,0.028,2.520
231,0.024,2.440
232,0.032,2.480
233,0.028,2.400
234,0.032,2.440
235,0.036,2.320
236,0.040,2.400
237,0.040,2.200
238,0.044,2.320
239,0.044,2.120
240,0.052,2.200
241,0.048,1.960
242,0.052,2.080
243,0.052,1.840
244,0.060,1.960
245,0.056,1.680
246,0.060,1.800
247,0.060,1.480
248,0.068,1.640
249,0.064,1.320
250,0.068,1.480
251,0.064,1.120
252,0.072,1.320
253,0.064,0.920
254,0.072,1.120
255,0.064,0.720
256,0.080,0.920
257,0.072,0.520
258,0.076,0.680
259,0.068,0.280
260,0.072,0.480
261,0.068,0.080
262,0.076,0.280
263,0.068,-0.160
264,0.072,0.040
265,0.068,-0.360
266,0.072,-0.160
267,0.064,-0.600
268,0.068,-0.400
269,0.060,-0.800
270,0.068,-0.600
271,0.056,-1.000
272,0.064,-0.800
273,0.052,-1.200
274,0.056,-1.040
275,0.048,-1.400
276,0.060,-1.200
277,0.044,-1.560
278,0.048,-1.400
279,0.040,-1.720
280,0.048,-1.560
281,0.036,-1.880
282,0.040,-1.760
283,0.032,-2.000
284,0.036,-1.880
285,0.020,-2.120
286,0.028,-2.040
287,0.020,-2.240
288,0.024,-2.160
289,0.008,-2.320
290,0.016,-2.240
291,0.008,-2.400
292,0.012,-2.320
293,-0.004,-2.440
294,0.008,-2.400
295,-0.004,-2.480
296,0.000,-2.440
297,-0.012,-2.480
298,-0.004,-2.480
299,-0.016,-2.480
300,-0.016,-2.480
301,-0.024,-2.480
302,-0.016,-2.440
303,-0.028,-2.440
304,-0.028,-2.400
305,-0.036,-2.400
306,-0.028,-2.320
307,-0.044,-2.320
308,-0.036,-2.240
309,-0.048,-2.240
310,-0.040,-2.160
311,-0.052,-2.160
312,-0.044,-2.040
313,-0.056,-2.040
314,-0.048,-1.880
315,-0.060,-1.880
316,-0.052,-1.760
317,-0.060,-1.760
318,-0.056,-1.600
319,-0.068,-1.560
320,-0.060,-1.400
321,-0.068,-1.400
322,-0.064,-1.240
323,-0.072,-1.200
324,-0.064,-1.040
325,-0.072,-1.000
326,-0.068,-0.840
327,-0.072,-0.800
328,-0.068,-0.600
329,-0.072,-0.600
330,-0.068,-0.400
331,-0.072,-0.400
332,-0.068,-0.200
333,-0.072,-0.160
334,-0.068,0.040
335,-0.068,0.040
336,-0.068,0.240
337,-0.072,0.280
338,-0.068,0.480
339,-0.068,0.480
340,-0.056,0.680
341,-0.072,0.680
342,-0.056,0.880
343,-0.068,0.920
344,-0.056,1.080
345,-0.060,1.120
346,-0.052,1.280
347,-0.056,1.320
348,-0.048,1.480
349,-0.048,1.480
350,-0.044,1.640
351,-0.044,1.680
352,-0.036,1.800
353,-0.040,1.840
354,-0.032,1.960
355,-0.036,1.960
356,-0.024,2.080
357,-0.028,2.080
358,-0.024,2.200
359,-0.024,2.200
360,-0.016,2.280
361,-0.016,2.320
362,-0.008,2.400
363,-0.012,2.400
364,-0.004,2.440
365,-0.004,2.440
366,0.004,2.480
367,0.000,2.480
368,0.008,2.520
369,0.008,2.520
370,0.016,2.520
371,0.016,2.520
372,0.020,2.520
373,0.020,2.480
374,0.028,2.520
375,0.028,2.400
376,0.032,2.480
377,0.024,2.360
378,0.040,2.400
379,0.036,2.240
380,0.044,2.360
381,0.036,2.160
382,0.056,2.240
383,0.048,2.040
384,0.052,2.160
385,0.052,1.880
386,0.056,2.000
387,0.056,1.720
388,0.060,1.880
389,0.060,1.560
390,0.064,1.720
391,0.064,1.400
392,0.068,1.560
393,0.064,1.200
394,0.068,1.400
395,0.068,1.000
396,0.072,1.200
397,0.068,0.800
398,0.072,1.000
399,0.068,0.600
400,0.076,0.800
401,0.068,0.360
402,0.076,0.560
403,0.068,0.160
404,0.076,0.360
405,0.068,-0.080
406,0.072,0.160
407,0.064,-0.280
408,0.072,-0.080
409,0.064,-0.480
410,0.072,-0.320
411,0.060,-0.720
412,0.068,-0.520
413,0.060,-0.920
414,0.064,-0.720
415,0.052,-1.120
416,0.060,-0.920
417,0.052,-1.320
418,0.060,-1.120
419,0.044,-1.480
420,0.052,-1.320
421,0.044,-1.680
422,0.048,-1.520
423,0.036,-1.840
424,0.044,-1.680
425,0.036,-1.960
426,0.036,-1.840
427,0.024,-2.080
428,0.036,-1.960
429,0.020,-2.200
430,0.028,-2.120
431,0.012,-2.280
432,0.024,-2.200
433,0.008,-2.360
434,0.012,-2.280
435,0.000,-2.440
436,0.012,-2.360
437,-0.004,-2.480
438,0.004,-2.440
439,-0.008,-2.480
440,0.000,-2.480
441,-0.016,-2.480
442,-0.008,-2.480
443,-0.020,-2.480
444,-0.016,-2.480
445,-0.028,-2.480
446,-0.020,-2.440
447,-0.032,-2.440
448,-0.028,-2.360
449,-0.040,-2.360
450,-0.032,-2.280
451,-0.044,-2.280
452,-0.036,-2.200
453,-0.052,-2.200
454,-0.040,-2.080
455,-0.056,-2.080
456,-0.048,-1.960
457,-0.060,-1.960
458,-0.052,-1.800
459,-0.060,-1.800
460,-0.056,-1.640
461,-0.068,-1.640
462,-0.056,-1.480
463,-0.068,-1.480
464,-0.064,-1.320
465,-0.068,-1.280
466,-0.064,-1.120
467,-0.072,-1.120
468,-0.068,-0.920
469,-0.072,-0.920
470,-0.068,-0.720
471,-0.076,-0.680
472,-0.072,-0.480
473,-0.072,-0.480
474,-0.068,-0.280
475,-0.072,-0.280
476,-0.068,-0.040
477,-0.072,-0.040
478,-0.064,0.160
479,-0.072,0.200
480,-0.060,0.360
481,-0.068,0.400
482,-0.064,0.600
483,-0.068,0.600
484,-0.060,0.800
485,-0.064,0.840
486,-0.056,1.000
487,-0.056,1.040
488,-0.052,1.200
489,-0.056,1.240
490,-0.052,1.400
491,-0.052,1.400
492,-0.044,1.560
493,-0.048,1.600
494,-0.044,1.720
495,-0.040,1.760
496,-0.032,1.880
497,-0.036,1.920
498,-0.032,2.040
499,-0.032,2.040
500,-0.024,2.160
501,-0.024,2.160
502,-0.020,2.240
503,-0.020,2.280
504,-0.012,2.360
505,-0.012,2.360
506,-0.008,2.400
507,-0.008,2.440
508,0.000,2.480
509,0.000,2.480
510,0.008,2.520
511,0.004,2.520
512,0.016,2.520
513,0.012,2.520
514,0.020,2.520
515,0.016,2.480
516,0.024,2.520
517,0.024,2.440
518,0.032,2.480
519,0.028,2.360
520,0.036,2.440
521,0.036,2.320
522,0.044,2.360
523,0.040,2.200
524,0.044,2.280
525,0.048,2.080
526,0.052,2.200
527,0.052,1.960
528,0.056,2.080
529,0.052,1.800
530,0.060,1.960
531,0.060,1.640
532,0.060,1.800
533,0.060,1.480
534,0.064,1.640
535,0.064,1.280
536,0.068,1.480
537,0.064,1.080
538,0.072,1.280
539,0.068,0.880
540,0.072,1.080
541,0.068,0.680
542,0.072,0.880
543,0.068,0.480
544,0.076,0.680
545,0.068,0.240
546,0.072,0.440
547,0.068,0.040
548,0.072,0.240
549,0.068,-0.200
550,0.072,0.040
551,0.068,-0.400
552,0.068,-0.200
553,0.060,-0.600
554,0.068,-0.440
555,0.060,-0.840
556,0.064,-0.640
557,0.056,-1.040
558,0.064,-0.840
559,0.052,-1.240
560,0.060,-1.040
561,0.044,-1.400
562,0.056,-1.240
563,0.044,-1.600
564,0.048,-1.440
565,0.040,-1.760
566,0.048,-1.600
567,0.032,-1.880
568,0.040,-1.760
569,0.028,-2.040
570,0.036,-1.920
571,0.024,-2.160
572,0.028,-2.040
573,0.016,-2.240
574,0.024,-2.160
575,0.008,-2.320
576,0.020,-2.280
577,0.004,-2.400
578,0.012,-2.360
579,-0.004,-2.440
580,0.008,-2.400
581,-0.008,-2.480
582,-0.004,-2.440
583,-0.016,-2.480
584,-0.004,-2.480
585,-0.020,-2.480
586,-0.012,-2.480
587,-0.028,-2.480
588,-0.016,-2.440
589,-0.032,-2.440
590,-0.024,-2.400
591,-0.040,-2.400
592,-0.028,-2.320
593,-0.044,-2.320
594,-0.040,-2.240
595,-0.048,-2.240
596,-0.040,-2.120
597,-0.052,-2.120
598,-0.048,-2.000
599,-0.056,-2.000
600,-0.048,-1.880
601,-0.060,-1.880
602,-0.052,-1.720
603,-0.064,-1.720
604,-0.056,-1.560
605,-0.068,-1.560
606,-0.060,-1.400
607,-0.068,-1.360
608,-0.064,-1.200
609,-0.072,-1.200
610,-0.064,-1.000
611,-0.072,-1.000
612,-0.068,-0.800
613,-0.072,-0.800
614,-0.068,-0.600
615,-0.072,-0.560
616,-0.068,-0.360
617,-0.072,-0.360
618,-0.068,-0.160
619,-0.072,-0.120
620,-0.068,0.080
621,-0.072,0.080
622,-0.064,0.280
623,-0.068,0.320
624,-0.064,0.520
625,-0.068,0.520
626,-0.060,0.720
627,-0.064,0.720
628,-0.060,0.920
629,-0.060,0.920
630,-0.056,1.120
631,-0.056,1.160
632,-0.052,1.320
633,-0.056,1.320
634,-0.048,1.480
635,-0.048,1.520
636,-0.044,1.680
637,-0.044,1.680
638,-0.036,1.840
639,-0.036,1.840
640,-0.032,1.960
641,-0.036,2.000
642,-0.028,2.120
