,CH2(Unit:V),CH3(Unit:V)
Frequency:,8.500 kHz,8.500 kHz
Period:,117.647 uS,117.647 uS
PK-PK:,440mV,5.00V
1,-0.100,-2.400
2,-0.080,-2.400
3,-0.080,-2.400
4,-0.080,-2.400
5,-0.080,-2.440
6,-0.080,-2.400
7,-0.080,-2.440
8,-0.060,-2.440
9,-0.080,-2.440
10,-0.060,-2.440
11,-0.080,-2.480
12,-0.060,-2.440
13,-0.060,-2.480
14,-0.060,-2.440
15,-0.060,-2.480
16,-0.060,-2.480
17,-0.060,-2.480
18,-0.040,-2.480
19,-0.060,-2.480
20,-0.040,-2.480
21,-0.040,-2.480
22,-0.040,-2.480
23,-0.040,-2.520
24,-0.040,-2.480
25,-0.040,-2.520
26,-0.020,-2.480
27,-0.040,-2.520
28,-0.020,-2.480
29,-0.020,-2.520
30,-0.020,-2.480
31,-0.020,-2.520
32,-0.020,-2.480
33,-0.020,-2.520
34,0.000,-2.480
35,-0.020,-2.480
36,0.000,-2.480
37,-0.020,-2.480
38,0.000,-2.480
39,0.000,-2.480
40,0.000,-2.480
41,0.000,-2.480
42,0.000,-2.480
43,0.000,-2.480
44,0.020,-2.480
45,0.000,-2.480
46,0.020,-2.440
47,0.020,-2.440
48,0.020,-2.440
49,0.020,-2.440
50,0.020,-2.440
51,0.020,-2.440
52,0.020,-2.440
53,0.020,-2.440
54,0.040,-2.400
55,0.040,-2.400
56,0.040,-2.400
57,0.040,-2.400
58,0.040,-2.360
59,0.040,-2.360
60,0.060,-2.360
61,0.040,-2.360
62,0.060,-2.360
63,0.040,-2.360
64,0.060,-2.320
65,0.040,-2.320
66,0.060,-2.320
67,0.060,-2.320
68,0.060,-2.280
69,0.060,-2.280
70,0.060,-2.280
71,0.060,-2.240
72,0.080,-2.240
73,0.080,-2.240
74,0.080,-2.200
75,0.080,-2.200
76,0.080,-2.200
77,0.080,-2.200
78,0.080,-2.160
79,0.080,-2.160
80,0.100,-2.120
81,0.080,-2.120
82,0.100,-2.120
83,0.080,-2.120
84,0.100,-2.080
85,0.100,-2.080
86,0.100,-2.040
87,0.100,-2.040
88,0.100,-2.000
89,0.100,-2.000
90,0.120,-2.000
91,0.100,-2.000
92,0.120,-1.960
93,0.120,-1.960
94,0.120,-1.920
95,0.120,-1.920
96,0.120,-1.880
97,0.120,-1.880
98,0.120,-1.840
99,0.120,-1.840
100,0.120,-1.800
101,0.120,-1.800
102,0.140,-1.760
103,0.120,-1.760
104,0.140,-1.720
105,0.140,-1.720
106,0.140,-1.720
107,0.140,-1.680
108,0.140,-1.640
109,0.140,-1.640
110,0.160,-1.600
111,0.140,-1.600
112,0.140,-1.560
