,CH2(Unit:V),CH3(Unit:V)
Frequency:,14.600 kHz,14.600 kHz
Period:,68.493 uS,68.493 uS
PK-PK:,840mV,4.88V
1,-0.400,-2.400
2,-0.400,-2.400
3,-0.420,-2.400
4,-0.400,-2.360
5,-0.420,-2.360
6,-0.400,-2.360
7,-0.420,-2.360
8,-0.420,-2.320
9,-0.420,-2.320
10,-0.400,-2.320
11,-0.420,-2.320
12,-0.420,-2.280
13,-0.420,-2.280
14,-0.420,-2.240
15,-0.420,-2.240
16,-0.420,-2.200
17,-0.420,-2.200
18,-0.420,-2.160
19,-0.420,-2.160
20,-0.420,-2.120
21,-0.420,-2.120
22,-0.420,-2.080
23,-0.420,-2.080
24,-0.420,-2.040
25,-0.420,-2.040
26,-0.420,-2.000
27,-0.420,-1.960
28,-0.400,-1.920
29,-0.420,-1.920
30,-0.400,-1.880
31,-0.420,-1.880
32,-0.400,-1.840
33,-0.420,-1.800
34,-0.400,-1.760
35,-0.400,-1.760
36,-0.400,-1.720
37,-0.400,-1.680
38,-0.380,-1.640
39,-0.400,-1.640
40,-0.380,-1.560
41,-0.380,-1.560
42,-0.380,-1.520
43,-0.380,-1.480
44,-0.360,-1.440
45,-0.380,-1.440
46,-0.360,-1.360
47,-0.360,-1.360
48,-0.360,-1.280
49,-0.360,-1.280
50,-0.340,-1.200
51,-0.360,-1.200
52,-0.340,-1.120
53,-0.340,-1.120
54,-0.320,-1.040
55,-0.320,-1.040
56,-0.320,-0.960
57,-0.320,-0.960
58,-0.300,-0.880
59,-0.300,-0.880
60,-0.300,-0.800
61,-0.300,-0.800
62,-0.280,-0.720
63,-0.280,-0.720
64,-0.280,-0.640
65,-0.280,-0.640
66,-0.260,-0.560
67,-0.260,-0.520
68,-0.240,-0.480
69,-0.260,-0.440
70,-0.240,-0.360
71,-0.240,-0.360
72,-0.220,-0.280
73,-0.220,-0.280
74,-0.220,-0.200
75,-0.220,-0.200
76,-0.200,-0.120
77,-0.200,-0.120
78,-0.180,-0.040
79,-0.200,0.000
80,-0.160,0.080
81,-0.180,0.080
82,-0.160,0.160
83,-0.160,0.160
84,-0.140,0.240
85,-0.140,0.240
86,-0.120,0.320
87,-0.140,0.360
88,-0.120,0.400
89,-0.120,0.440
90,-0.100,0.520
91,-0.100,0.520
92,-0.080,0.600
93,-0.080,0.600
94,-0.080,0.680
95,-0.060,0.680
96,-0.060,0.760
97,-0.060,0.760
98,-0.040,0.840
99,-0.040,0.840
100,-0.020,0.920
101,-0.020,0.960
102,0.000,1.000
103,0.000,1.000
104,0.000,1.080
105,0.000,1.080
106,0.020,1.160
107,0.020,1.160
108,0.040,1.240
109,0.040,1.240
110,0.060,1.320
111,0.060,1.320
112,0.060,1.400
113,0.060,1.400
114,0.080,1.480
115,0.080,1.480
116,0.100,1.520
117,0.100,1.560
118,0.120,1.600
119,0.120,1.600
120,0.120,1.680
121,0.120,1.680
122,0.140,1.720
123,0.140,1.760
124,0.160,1.800
125,0.160,1.800
126,0.160,1.840
127,0.160,1.840
128,0.180,1.920
129,0.180,1.920
130,0.200,1.960
131,0.200,1.960
132,0.220,2.000
133,0.200,2.000
134,0.220,2.040
135,0.220,2.080
136,0.240,2.120
137,0.240,2.120
138,0.260,2.160
139,0.240,2.160
140,0.260,2.200
141,0.260,2.200
142,0.280,2.240
143,0.280,2.240
144,0.280,2.240
145,0.280,2.280
146,0.300,2.280
147,0.300,2.280
148,0.300,2.320
149,0.300,2.320
150,0.320,2.320
151,0.320,2.320
152,0.340,2.360
153,0.320,2.360
154,0.340,2.360
155,0.340,2.360
156,0.340,2.400
157,0.340,2.400
158,0.360,2.400
159,0.360,2.400
160,0.360,2.400
161,0.360,2.400
162,0.360,2.400
163,0.360,2.400
164,0.380,2.400
165,0.380,2.400
166,0.380,2.440
167,0.380,2.400
168,0.380,2.400
169,0.380,2.400
170,0.400,2.400
171,0.380,2.400
172,0.400,2.400
173,0.400,2.360
174,0.400,2.400
175,0.400,2.360
176,0.400,2.360
177,0.400,2.320
178,0.420,2.360
179,0.400,2.320
180,0.420,2.320
181,0.400,2.280
182,0.420,2.320
183,0.400,2.240
184,0.420,2.280
185,0.420,2.240
186,0.420,2.240
187,0.420,2.200
188,0.420,2.240
189,0.420,2.160
190,0.420,2.200
191,0.400,2.120
192,0.420,2.160
193,0.400,2.040
194,0.420,2.120
195,0.400,2.000
196,0.420,2.040
197,0.400,1.960
198,0.420,2.000
199,0.400,1.920
200,0.420,1.960
201,0.400,1.840
202,0.400,1.920
203,0.400,1.800
204,0.400,1.840
205,0.400,1.720
206,0.400,1.800
207,0.380,1.680
208,0.400,1.720
209,0.380,1.600
210,0.400,1.680
211,0.380,1.560
212,0.380,1.600
213,0.360,1.480
214,0.380,1.520
215,0.360,1.400
216,0.360,1.480
217,0.360,1.320
218,0.360,1.400
219,0.340,1.240
220,0.360,1.320
221,0.340,1.160
222,0.340,1.240
223,0.320,1.120
224,0.340,1.160
225,0.320,1.040
226,0.320,1.080
227,0.300,0.920
228,0.320,1.000
229,0.300,0.840
230,0.320,0.920
231,0.280,0.760
232,0.300,0.840
233,0.280,0.680
234,0.280,0.760
235,0.260,0.600
236,0.280,0.680
237,0.240,0.520
238,0.260,0.600
239,0.240,0.440
240,0.260,0.520
241,0.220,0.360
242,0.240,0.440
243,0.220,0.240
244,0.240,0.320
245,0.200,0.160
246,0.220,0.240
247,0.180,0.080
248,0.200,0.160
249,0.180,0.000
250,0.200,0.080
251,0.160,-0.080
252,0.180,-0.040
253,0.140,-0.200
254,0.160,-0.120
255,0.140,-0.280
256,0.140,-0.200
257,0.120,-0.360
258,0.140,-0.280
259,0.100,-0.440
260,0.120,-0.360
261,0.100,-0.520
262,0.100,-0.480
263,0.080,-0.640
264,0.100,-0.560
265,0.060,-0.720
266,0.080,-0.640
267,0.040,-0.800
268,0.060,-0.720
269,0.020,-0.880
270,0.040,-0.800
271,0.000,-0.960
272,0.020,-0.880
273,0.000,-1.040
274,0.020,-0.960
275,-0.020,-1.120
276,0.000,-1.040
277,-0.040,-1.200
278,-0.020,-1.120
279,-0.040,-1.280
