,CH2(Unit:V),CH3(Unit:V)
Frequency:,67.000 kHz,67.000 kHz
Period:,14.925 uS,14.925 uS
PK-PK:,552mV,4.96V
1,-0.176,0.560
2,-0.160,0.680
3,-0.184,0.480
4,-0.172,0.560
5,-0.196,0.400
6,-0.184,0.480
7,-0.200,0.280
8,-0.188,0.360
9,-0.212,0.160
10,-0.196,0.280
11,-0.216,0.080
12,-0.204,0.160
13,-0.224,-0.040
14,-0.212,0.040
15,-0.228,-0.160
16,-0.216,-0.040
17,-0.232,-0.240
18,-0.224,-0.160
19,-0.240,-0.360
20,-0.224,-0.240
21,-0.244,-0.440
22,-0.232,-0.360
23,-0.248,-0.560
24,-0.240,-0.440
25,-0.252,-0.680
26,-0.244,-0.560
27,-0.256,-0.760
28,-0.244,-0.680
29,-0.260,-0.840
30,-0.252,-0.760
31,-0.264,-0.960
32,-0.256,-0.880
33,-0.264,-1.040
34,-0.252,-0.960
35,-0.264,-1.160
36,-0.256,-1.040
37,-0.268,-1.240
38,-0.256,-1.160
39,-0.268,-1.320
40,-0.260,-1.240
41,-0.272,-1.440
42,-0.260,-1.360
43,-0.268,-1.520
44,-0.260,-1.440
45,-0.268,-1.600
46,-0.260,-1.520
47,-0.268,-1.680
48,-0.260,-1.600
49,-0.268,-1.760
50,-0.256,-1.680
51,-0.264,-1.840
52,-0.256,-1.760
53,-0.264,-1.880
54,-0.256,-1.840
55,-0.264,-1.960
56,-0.252,-1.920
57,-0.260,-2.040
58,-0.248,-1.960
59,-0.252,-2.080
60,-0.240,-2.040
61,-0.248,-2.160
62,-0.240,-2.080
63,-0.244,-2.200
64,-0.236,-2.160
65,-0.240,-2.280
66,-0.232,-2.200
67,-0.236,-2.320
68,-0.224,-2.280
69,-0.232,-2.360
70,-0.216,-2.320
71,-0.224,-2.400
72,-0.216,-2.360
73,-0.220,-2.440
74,-0.208,-2.400
75,-0.212,-2.480
76,-0.196,-2.440
77,-0.204,-2.480
78,-0.196,-2.480
79,-0.192,-2.520
80,-0.184,-2.480
81,-0.192,-2.520
82,-0.180,-2.520
83,-0.180,-2.560
84,-0.168,-2.520
85,-0.168,-2.560
86,-0.160,-2.520
87,-0.160,-2.560
88,-0.152,-2.560
89,-0.156,-2.560
90,-0.136,-2.560
91,-0.148,-2.560
92,-0.132,-2.560
93,-0.136,-2.560
94,-0.120,-2.520
95,-0.120,-2.560
96,-0.112,-2.520
97,-0.116,-2.520
98,-0.100,-2.520
99,-0.108,-2.520
100,-0.092,-2.480
101,-0.096,-2.480
102,-0.080,-2.480
103,-0.080,-2.480
104,-0.068,-2.440
105,-0.072,-2.440
106,-0.060,-2.400
107,-0.064,-2.400
108,-0.048,-2.360
109,-0.052,-2.360
110,-0.036,-2.320
111,-0.040,-2.320
112,-0.024,-2.280
113,-0.028,-2.280
114,-0.016,-2.240
115,-0.016,-2.240
116,-0.004,-2.160
117,-0.004,-2.160
118,0.008,-2.120
119,0.004,-2.120
120,0.020,-2.040
121,0.016,-2.040
122,0.032,-2.000
123,0.028,-2.000
124,0.040,-1.920
125,0.036,-1.920
126,0.052,-1.840
127,0.048,-1.840
128,0.060,-1.800
129,0.060,-1.760
130,0.076,-1.720
131,0.068,-1.680
132,0.084,-1.600
133,0.080,-1.600
134,0.100,-1.520
135,0.088,-1.520
136,0.104,-1.440
137,0.104,-1.440
138,0.124,-1.360
139,0.108,-1.360
140,0.128,-1.280
141,0.120,-1.280
142,0.136,-1.200
143,0.132,-1.200
144,0.144,-1.080
145,0.144,-1.080
146,0.156,-1.000
147,0.148,-1.000
148,0.168,-0.880
149,0.160,-0.880
150,0.168,-0.800
151,0.168,-0.800
152,0.180,-0.680
153,0.176,-0.680
154,0.188,-0.600
155,0.184,-0.560
156,0.200,-0.480
157,0.192,-0.480
158,0.204,-0.400
159,0.200,-0.400
160,0.212,-0.280
161,0.204,-0.280
162,0.220,-0.160
163,0.212,-0.160
164,0.224,-0.080
165,0.220,-0.080
166,0.228,0.040
167,0.224,0.040
168,0.240,0.120
169,0.228,0.160
170,0.244,0.240
171,0.232,0.240
172,0.244,0.360
173,0.244,0.360
174,0.252,0.440
175,0.244,0.440
176,0.252,0.560
177,0.244,0.560
178,0.264,0.640
179,0.252,0.640
180,0.264,0.760
181,0.256,0.760
182,0.264,0.840
183,0.256,0.840
184,0.268,0.920
185,0.256,0.960
186,0.264,1.040
187,0.260,1.040
188,0.268,1.120
189,0.264,1.120
190,0.268,1.200
191,0.260,1.200
192,0.268,1.320
193,0.260,1.320
194,0.268,1.400
195,0.260,1.400
196,0.272,1.480
197,0.260,1.480
198,0.268,1.560
199,0.256,1.560
200,0.268,1.640
201,0.256,1.640
202,0.268,1.720
203,0.252,1.720
204,0.260,1.760
205,0.252,1.760
206,0.260,1.840
207,0.248,1.840
208,0.256,1.920
209,0.240,1.920
210,0.256,1.960
211,0.240,1.960
212,0.248,2.040
213,0.236,2.040
214,0.240,2.080
215,0.228,2.080
216,0.240,2.120
217,0.224,2.120
218,0.232,2.160
219,0.220,2.160
220,0.232,2.200
221,0.212,2.200
222,0.220,2.240
223,0.204,2.240
224,0.216,2.280
225,0.196,2.280
226,0.208,2.320
227,0.188,2.320
228,0.200,2.360
229,0.180,2.360
230,0.192,2.360
231,0.176,2.360
232,0.184,2.360
233,0.164,2.360
234,0.180,2.400
235,0.156,2.400
236,0.168,2.400
237,0.148,2.400
238,0.160,2.400
239,0.140,2.400
240,0.148,2.400
241,0.132,2.400
242,0.144,2.400
243,0.120,2.400
244,0.132,2.400
245,0.108,2.360
246,0.120,2.400
247,0.100,2.360
248,0.108,2.360
249,0.088,2.320
250,0.104,2.360
251,0.080,2.320
252,0.092,2.320
253,0.064,2.280
254,0.080,2.320
255,0.056,2.240
256,0.068,2.280
257,0.040,2.200
258,0.060,2.240
259,0.036,2.160
260,0.052,2.200
261,0.024,2.120
262,0.036,2.160
263,0.012,2.040
264,0.024,2.120
265,0.000,2.000
266,0.016,2.040
267,-0.012,1.960
268,0.008,2.000
269,-0.020,1.880
270,-0.008,1.920
271,-0.040,1.800
272,-0.020,1.880
273,-0.040,1.760
274,-0.024,1.800
275,-0.056,1.680
276,-0.040,1.760
277,-0.064,1.600
278,-0.052,1.680
279,-0.080,1.520
280,-0.068,1.600
281,-0.088,1.440
282,-0.076,1.520
283,-0.096,1.360
284,-0.084,1.440
285,-0.108,1.280
286,-0.092,1.360
287,-0.116,1.160
288,-0.104,1.280
289,-0.132,1.080
290,-0.116,1.160
291,-0.136,1.000
292,-0.128,1.080
293,-0.148,0.920
294,-0.132,1.000
295,-0.156,0.800
296,-0.144,0.880
297,-0.164,0.720
298,-0.156,0.800
299,-0.172,0.600
300,-0.164,0.720
301,-0.180,0.520
302,-0.172,0.600
303,-0.188,0.400
304,-0.180,0.480
305,-0.204,0.320
306,-0.188,0.400
307,-0.208,0.200
308,-0.192,0.280
309,-0.212,0.080
310,-0.204,0.200
311,-0.220,0.000
312,-0.208,0.080
313,-0.228,-0.120
314,-0.216,-0.040
315,-0.236,-0.240
316,-0.220,-0.120
317,-0.236,-0.320
318,-0.228,-0.240
319,-0.244,-0.440
320,-0.232,-0.320
321,-0.252,-0.520
322,-0.232,-0.440
323,-0.252,-0.640
324,-0.244,-0.520
325,-0.252,-0.720
326,-0.248,-0.640
327,-0.256,-0.840
328,-0.252,-0.720
329,-0.264,-0.920
330,-0.252,-0.840
331,-0.264,-1.040
332,-0.256,-0.920
333,-0.264,-1.120
334,-0.260,-1.040
335,-0.268,-1.200
336,-0.260,-1.120
337,-0.272,-1.320
338,-0.256,-1.240
339,-0.272,-1.400
340,-0.260,-1.320
341,-0.272,-1.480
342,-0.264,-1.400
343,-0.268,-1.560
344,-0.260,-1.480
345,-0.268,-1.640
346,-0.260,-1.600
347,-0.268,-1.720
348,-0.256,-1.680
349,-0.268,-1.800
350,-0.260,-1.760
351,-0.264,-1.880
352,-0.252,-1.800
353,-0.264,-1.960
354,-0.252,-1.880
355,-0.260,-2.040
356,-0.248,-1.960
357,-0.256,-2.080
358,-0.248,-2.040
359,-0.252,-2.120
360,-0.240,-2.080
361,-0.248,-2.200
362,-0.236,-2.160
363,-0.240,-2.240
364,-0.236,-2.200
365,-0.240,-2.280
366,-0.228,-2.240
367,-0.232,-2.360
368,-0.220,-2.320
369,-0.228,-2.400
370,-0.212,-2.360
371,-0.220,-2.400
372,-0.208,-2.400
373,-0.212,-2.440
374,-0.204,-2.400
375,-0.208,-2.480
376,-0.196,-2.440
377,-0.200,-2.520
378,-0.184,-2.480
379,-0.192,-2.520
380,-0.176,-2.520
381,-0.180,-2.520
382,-0.168,-2.520
383,-0.176,-2.560
384,-0.160,-2.520
385,-0.164,-2.560
386,-0.152,-2.560
387,-0.156,-2.560
388,-0.144,-2.560
389,-0.148,-2.560
390,-0.136,-2.560
391,-0.136,-2.560
392,-0.124,-2.560
393,-0.132,-2.560
394,-0.116,-2.520
395,-0.120,-2.520
396,-0.104,-2.520
397,-0.104,-2.520
398,-0.092,-2.520
399,-0.100,-2.480
400,-0.084,-2.480
