,CH2(Unit:V),CH3(Unit:V)
Frequency:,86.000 kHz,86.000 kHz
Period:,11.628 uS,11.628 uS
PK-PK:,280mV,5.00V
1,-0.064,-2.560
2,-0.048,-2.520
3,-0.068,-2.560
4,-0.056,-2.560
5,-0.076,-2.560
6,-0.056,-2.560
7,-0.076,-2.560
8,-0.064,-2.560
9,-0.088,-2.560
10,-0.068,-2.520
11,-0.088,-2.520
12,-0.076,-2.520
13,-0.096,-2.520
14,-0.084,-2.480
15,-0.096,-2.480
16,-0.088,-2.440
17,-0.108,-2.440
18,-0.092,-2.400
19,-0.108,-2.400
20,-0.096,-2.360
21,-0.112,-2.360
22,-0.100,-2.320
23,-0.116,-2.320
24,-0.100,-2.240
25,-0.120,-2.240
26,-0.104,-2.200
27,-0.124,-2.160
28,-0.108,-2.120
29,-0.124,-2.120
30,-0.112,-2.000
31,-0.124,-2.000
32,-0.116,-1.920
33,-0.124,-1.920
34,-0.116,-1.840
35,-0.136,-1.840
36,-0.116,-1.760
37,-0.132,-1.760
38,-0.120,-1.640
39,-0.128,-1.640
40,-0.120,-1.560
41,-0.128,-1.520
42,-0.120,-1.440
43,-0.136,-1.440
44,-0.124,-1.320
45,-0.128,-1.320
46,-0.120,-1.200
47,-0.128,-1.200
48,-0.120,-1.080
49,-0.128,-1.080
50,-0.120,-0.960
51,-0.128,-0.960
52,-0.116,-0.840
53,-0.128,-0.800
54,-0.116,-0.680
55,-0.124,-0.680
56,-0.112,-0.560
57,-0.124,-0.560
58,-0.112,-0.440
59,-0.116,-0.400
60,-0.108,-0.320
61,-0.116,-0.280
62,-0.108,-0.160
63,-0.112,-0.160
64,-0.104,-0.040
65,-0.112,-0.040
66,-0.096,0.120
67,-0.108,0.120
68,-0.092,0.240
69,-0.100,0.240
70,-0.092,0.360
71,-0.100,0.400
72,-0.088,0.520
73,-0.088,0.520
74,-0.076,0.640
75,-0.088,0.640
76,-0.072,0.760
77,-0.080,0.760
78,-0.072,0.880
79,-0.076,0.880
80,-0.064,1.000
81,-0.072,1.000
82,-0.056,1.120
83,-0.064,1.160
84,-0.048,1.240
85,-0.060,1.240
86,-0.044,1.360
87,-0.052,1.360
88,-0.036,1.480
89,-0.048,1.480
90,-0.028,1.560
91,-0.040,1.600
92,-0.024,1.680
93,-0.032,1.680
94,-0.020,1.760
95,-0.024,1.800
96,-0.012,1.840
97,-0.020,1.880
98,-0.004,1.920
99,-0.016,1.960
100,0.004,2.000
101,-0.008,2.040
102,0.004,2.080
103,0.004,2.080
104,0.016,2.160
105,0.008,2.160
106,0.020,2.200
107,0.016,2.200
108,0.032,2.280
109,0.024,2.280
110,0.036,2.320
111,0.028,2.320
