,CH2(Unit:V),CH3(Unit:V)
Frequency:,70.400 kHz,70.400 kHz
Period:,14.205 uS,14.205 uS
PK-PK:,736mV,4.92V
1,0.184,2.080
2,0.204,2.160
3,0.176,2.040
4,0.192,2.080
5,0.160,1.960
6,0.172,2.040
7,0.144,1.920
8,0.168,1.960
9,0.128,1.840
10,0.144,1.920
11,0.116,1.800
12,0.132,1.840
13,0.100,1.720
14,0.120,1.760
15,0.084,1.640
16,0.104,1.720
17,0.068,1.560
18,0.088,1.640
19,0.056,1.480
20,0.076,1.560
21,0.040,1.400
22,0.056,1.480
23,0.020,1.320
24,0.044,1.400
25,0.004,1.200
26,0.020,1.280
27,-0.008,1.120
28,0.008,1.200
29,-0.024,1.000
30,-0.008,1.120
31,-0.040,0.920
32,-0.024,1.000
33,-0.056,0.840
34,-0.040,0.920
35,-0.076,0.720
36,-0.060,0.800
37,-0.088,0.600
38,-0.072,0.720
39,-0.104,0.520
40,-0.084,0.600
41,-0.120,0.400
42,-0.104,0.520
43,-0.136,0.320
44,-0.120,0.400
45,-0.148,0.200
46,-0.132,0.280
47,-0.164,0.080
48,-0.148,0.200
49,-0.180,-0.040
50,-0.160,0.080
51,-0.196,-0.120
52,-0.176,-0.040
53,-0.204,-0.240
54,-0.192,-0.120
55,-0.220,-0.320
56,-0.200,-0.240
57,-0.228,-0.440
58,-0.216,-0.360
59,-0.248,-0.560
60,-0.228,-0.480
61,-0.256,-0.640
62,-0.240,-0.560
63,-0.268,-0.760
64,-0.252,-0.680
65,-0.272,-0.880
66,-0.260,-0.760
67,-0.288,-0.960
68,-0.272,-0.880
69,-0.300,-1.080
70,-0.284,-0.960
71,-0.308,-1.160
72,-0.292,-1.080
73,-0.312,-1.280
74,-0.300,-1.160
75,-0.320,-1.360
76,-0.308,-1.280
77,-0.328,-1.440
78,-0.320,-1.360
79,-0.336,-1.520
80,-0.320,-1.440
81,-0.340,-1.640
82,-0.332,-1.520
83,-0.344,-1.680
84,-0.336,-1.640
85,-0.356,-1.760
86,-0.340,-1.680
87,-0.356,-1.840
88,-0.344,-1.800
89,-0.360,-1.920
90,-0.348,-1.840
91,-0.364,-2.000
92,-0.348,-1.920
93,-0.364,-2.040
94,-0.352,-2.000
95,-0.364,-2.120
96,-0.360,-2.080
97,-0.364,-2.160
98,-0.356,-2.120
99,-0.364,-2.240
100,-0.356,-2.160
101,-0.368,-2.280
102,-0.356,-2.240
103,-0.364,-2.320
104,-0.356,-2.280
105,-0.364,-2.360
106,-0.352,-2.320
107,-0.356,-2.400
108,-0.348,-2.360
109,-0.356,-2.400
110,-0.344,-2.400
111,-0.352,-2.440
112,-0.344,-2.440
113,-0.344,-2.480
114,-0.336,-2.440
115,-0.340,-2.480
116,-0.328,-2.480
117,-0.332,-2.520
118,-0.320,-2.480
119,-0.328,-2.520
120,-0.316,-2.480
121,-0.324,-2.520
122,-0.312,-2.480
123,-0.312,-2.520
124,-0.300,-2.480
125,-0.304,-2.520
126,-0.292,-2.480
127,-0.296,-2.480
128,-0.280,-2.480
129,-0.284,-2.480
130,-0.272,-2.440
131,-0.276,-2.480
132,-0.256,-2.440
133,-0.268,-2.440
134,-0.248,-2.400
135,-0.252,-2.400
136,-0.240,-2.360
137,-0.240,-2.400
138,-0.228,-2.360
139,-0.232,-2.360
140,-0.212,-2.320
141,-0.216,-2.320
142,-0.196,-2.280
143,-0.204,-2.240
144,-0.184,-2.200
145,-0.188,-2.200
146,-0.172,-2.160
147,-0.180,-2.160
148,-0.156,-2.120
149,-0.160,-2.120
150,-0.144,-2.040
151,-0.148,-2.040
152,-0.128,-1.960
153,-0.132,-1.960
154,-0.116,-1.920
155,-0.120,-1.920
156,-0.100,-1.840
157,-0.104,-1.840
158,-0.084,-1.760
159,-0.084,-1.760
160,-0.068,-1.680
161,-0.068,-1.680
162,-0.052,-1.600
163,-0.064,-1.600
164,-0.028,-1.520
165,-0.040,-1.480
166,-0.012,-1.440
167,-0.032,-1.400
168,0.000,-1.320
169,-0.008,-1.320
170,0.008,-1.240
171,0.008,-1.240
172,0.024,-1.160
173,0.024,-1.160
174,0.040,-1.040
175,0.040,-1.040
176,0.060,-0.960
177,0.056,-0.960
178,0.072,-0.840
179,0.076,-0.840
180,0.088,-0.760
181,0.088,-0.760
182,0.104,-0.640
183,0.104,-0.640
184,0.124,-0.520
185,0.120,-0.520
186,0.132,-0.440
187,0.136,-0.400
188,0.148,-0.320
189,0.148,-0.320
190,0.164,-0.200
191,0.160,-0.200
192,0.180,-0.120
193,0.180,-0.080
194,0.196,0.000
195,0.188,0.000
196,0.208,0.120
197,0.204,0.120
198,0.216,0.200
199,0.216,0.240
200,0.232,0.320
201,0.228,0.320
202,0.244,0.440
203,0.240,0.440
204,0.256,0.560
205,0.244,0.560
206,0.264,0.640
207,0.264,0.640
208,0.276,0.760
209,0.276,0.760
210,0.288,0.840
211,0.284,0.840
212,0.296,0.960
213,0.292,0.960
214,0.308,1.040
215,0.296,1.040
216,0.316,1.160
217,0.312,1.120
218,0.320,1.240
219,0.316,1.240
220,0.328,1.320
221,0.324,1.320
222,0.336,1.400
223,0.328,1.400
224,0.344,1.480
225,0.336,1.480
226,0.348,1.560
227,0.344,1.560
228,0.352,1.640
229,0.344,1.640
230,0.356,1.720
231,0.348,1.720
232,0.360,1.800
233,0.348,1.800
234,0.364,1.880
235,0.352,1.880
236,0.364,1.920
237,0.356,1.920
238,0.364,2.000
239,0.356,2.000
240,0.364,2.040
241,0.356,2.040
242,0.364,2.080
243,0.356,2.120
244,0.364,2.160
245,0.352,2.160
246,0.368,2.200
247,0.348,2.200
248,0.364,2.240
249,0.348,2.240
250,0.356,2.280
251,0.344,2.280
252,0.352,2.280
253,0.336,2.280
254,0.356,2.320
255,0.336,2.320
256,0.348,2.360
257,0.328,2.320
258,0.340,2.360
259,0.324,2.360
260,0.332,2.360
261,0.316,2.360
262,0.332,2.400
263,0.308,2.360
264,0.324,2.400
265,0.300,2.360
266,0.312,2.400
267,0.288,2.360
268,0.304,2.360
269,0.284,2.360
270,0.296,2.360
271,0.272,2.320
272,0.288,2.360
273,0.264,2.320
274,0.276,2.360
275,0.248,2.280
276,0.260,2.320
277,0.236,2.240
278,0.260,2.280
279,0.220,2.240
280,0.248,2.280
281,0.212,2.200
282,0.232,2.240
283,0.200,2.120
284,0.216,2.160
285,0.184,2.080
286,0.208,2.120
287,0.172,2.040
288,0.196,2.080
289,0.160,1.960
290,0.180,2.040
291,0.144,1.920
292,0.164,1.960
293,0.132,1.840
294,0.144,1.920
295,0.120,1.800
296,0.140,1.840
297,0.104,1.720
298,0.116,1.800
299,0.084,1.640
300,0.104,1.720
301,0.068,1.560
302,0.084,1.640
303,0.056,1.480
304,0.076,1.560
305,0.040,1.400
306,0.056,1.480
307,0.024,1.320
308,0.040,1.400
309,0.008,1.200
310,0.024,1.280
311,-0.008,1.120
312,0.008,1.200
313,-0.024,1.040
314,-0.004,1.120
315,-0.044,0.920
316,-0.024,1.000
317,-0.060,0.840
318,-0.040,0.920
319,-0.072,0.720
320,-0.056,0.800
321,-0.088,0.600
322,-0.068,0.720
323,-0.104,0.520
324,-0.084,0.600
325,-0.124,0.400
326,-0.100,0.520
327,-0.132,0.320
328,-0.116,0.400
329,-0.148,0.200
330,-0.136,0.320
331,-0.160,0.120
332,-0.144,0.200
333,-0.180,0.000
334,-0.164,0.080
335,-0.192,-0.120
336,-0.176,-0.040
337,-0.204,-0.240
338,-0.188,-0.120
339,-0.220,-0.320
340,-0.204,-0.240
341,-0.228,-0.440
342,-0.216,-0.360
343,-0.244,-0.560
344,-0.228,-0.440
345,-0.252,-0.640
346,-0.240,-0.560
347,-0.268,-0.760
348,-0.252,-0.680
349,-0.276,-0.880
350,-0.260,-0.760
351,-0.284,-0.960
352,-0.272,-0.880
353,-0.296,-1.080
354,-0.284,-0.960
355,-0.304,-1.160
356,-0.292,-1.080
357,-0.312,-1.240
358,-0.300,-1.160
359,-0.324,-1.360
360,-0.312,-1.280
361,-0.328,-1.440
362,-0.316,-1.360
363,-0.336,-1.520
364,-0.324,-1.440
365,-0.344,-1.600
366,-0.328,-1.520
367,-0.344,-1.680
368,-0.336,-1.640
369,-0.352,-1.800
370,-0.344,-1.680
371,-0.356,-1.840
372,-0.348,-1.760
373,-0.360,-1.920
374,-0.348,-1.840
375,-0.360,-2.000
376,-0.348,-1.920
377,-0.368,-2.040
378,-0.356,-2.000
379,-0.364,-2.120
380,-0.356,-2.040
381,-0.368,-2.160
382,-0.352,-2.120
383,-0.368,-2.240
384,-0.356,-2.160
385,-0.364,-2.280
386,-0.356,-2.240
387,-0.364,-2.320
388,-0.356,-2.280
389,-0.360,-2.360
390,-0.348,-2.320
391,-0.360,-2.400
392,-0.348,-2.360
393,-0.356,-2.400
394,-0.344,-2.400
395,-0.352,-2.440
396,-0.340,-2.400
397,-0.348,-2.480
398,-0.336,-2.440
399,-0.336,-2.480
400,-0.324,-2.480
401,-0.336,-2.480
402,-0.324,-2.480
403,-0.328,-2.520
404,-0.316,-2.480
405,-0.328,-2.520
406,-0.308,-2.480
407,-0.312,-2.520
408,-0.296,-2.480
409,-0.300,-2.520
410,-0.292,-2.480
411,-0.292,-2.480
412,-0.284,-2.480
413,-0.288,-2.480
414,-0.268,-2.480
415,-0.280,-2.480
416,-0.260,-2.440
417,-0.264,-2.440
418,-0.252,-2.400
419,-0.252,-2.400
420,-0.240,-2.360
421,-0.240,-2.400
422,-0.224,-2.360
423,-0.228,-2.360
424,-0.212,-2.320
425,-0.216,-2.320
426,-0.200,-2.240
427,-0.204,-2.280
428,-0.188,-2.200
429,-0.192,-2.200
430,-0.176,-2.160
431,-0.176,-2.160
432,-0.160,-2.120
433,-0.160,-2.120
434,-0.144,-2.040
435,-0.148,-2.040
436,-0.128,-2.000
437,-0.132,-1.960
438,-0.116,-1.920
439,-0.120,-1.920
440,-0.100,-1.840
441,-0.100,-1.840
442,-0.084,-1.760
443,-0.084,-1.760
444,-0.072,-1.680
445,-0.072,-1.680
446,-0.060,-1.600
447,-0.056,-1.600
448,-0.036,-1.520
449,-0.044,-1.520
450,-0.020,-1.440
451,-0.020,-1.400
452,-0.008,-1.320
453,-0.008,-1.320
454,0.012,-1.240
455,0.008,-1.240
456,0.024,-1.160
457,0.024,-1.160
458,0.040,-1.040
459,0.044,-1.040
460,0.056,-0.960
461,0.056,-0.960
462,0.072,-0.840
463,0.068,-0.840
464,0.092,-0.760
465,0.088,-0.760
466,0.104,-0.640
467,0.104,-0.640
468,0.120,-0.560
469,0.120,-0.520
470,0.136,-0.440
471,0.132,-0.440
472,0.148,-0.320
473,0.144,-0.320
