,CH2(Unit:V),CH3(Unit:V)
Frequency:,59.600 kHz,59.600 kHz
Period:,16.778 uS,16.778 uS
PK-PK:,968mV,4.88V
1,0.336,0.360
2,0.368,0.520
3,0.312,0.160
4,0.336,0.320
5,0.280,-0.040
6,0.312,0.160
7,0.248,-0.200
8,0.280,-0.040
9,0.224,-0.400
10,0.248,-0.200
11,0.192,-0.560
12,0.216,-0.400
13,0.160,-0.720
14,0.192,-0.560
15,0.120,-0.920
16,0.152,-0.760
17,0.096,-1.080
18,0.120,-0.920
19,0.048,-1.240
20,0.088,-1.080
21,0.016,-1.400
22,0.048,-1.240
23,-0.024,-1.520
24,0.016,-1.400
25,-0.056,-1.680
26,-0.016,-1.560
27,-0.088,-1.800
28,-0.048,-1.680
29,-0.128,-1.920
30,-0.088,-1.800
31,-0.160,-2.000
32,-0.128,-1.920
33,-0.192,-2.120
34,-0.160,-2.040
35,-0.216,-2.200
36,-0.192,-2.120
37,-0.256,-2.280
38,-0.224,-2.200
39,-0.280,-2.320
40,-0.256,-2.280
41,-0.312,-2.360
42,-0.280,-2.320
43,-0.336,-2.400
44,-0.312,-2.360
45,-0.360,-2.440
46,-0.328,-2.400
47,-0.376,-2.440
48,-0.360,-2.400
49,-0.400,-2.440
50,-0.376,-2.400
51,-0.416,-2.400
52,-0.400,-2.400
53,-0.432,-2.400
54,-0.408,-2.360
55,-0.440,-2.360
56,-0.432,-2.320
57,-0.456,-2.280
58,-0.440,-2.240
59,-0.464,-2.240
60,-0.448,-2.160
61,-0.464,-2.160
62,-0.456,-2.080
63,-0.472,-2.080
64,-0.456,-1.960
65,-0.464,-1.960
66,-0.456,-1.880
67,-0.472,-1.840
68,-0.464,-1.760
69,-0.464,-1.720
70,-0.448,-1.600
71,-0.456,-1.600
72,-0.448,-1.480
73,-0.448,-1.440
74,-0.432,-1.320
75,-0.432,-1.320
76,-0.416,-1.160
77,-0.424,-1.160
78,-0.408,-1.000
79,-0.408,-1.000
80,-0.384,-0.840
81,-0.392,-0.840
82,-0.368,-0.680
83,-0.368,-0.640
84,-0.344,-0.480
85,-0.344,-0.480
86,-0.320,-0.320
87,-0.320,-0.280
88,-0.288,-0.120
89,-0.296,-0.120
90,-0.264,0.040
91,-0.264,0.080
92,-0.240,0.240
93,-0.240,0.240
94,-0.208,0.400
95,-0.208,0.440
96,-0.168,0.600
97,-0.176,0.600
98,-0.136,0.760
99,-0.144,0.800
100,-0.096,0.920
101,-0.112,0.960
102,-0.064,1.120
103,-0.072,1.120
104,-0.032,1.280
105,-0.032,1.280
106,-0.008,1.400
107,0.000,1.400
108,0.032,1.560
109,0.040,1.560
110,0.064,1.680
111,0.072,1.680
112,0.104,1.800
113,0.104,1.840
114,0.136,1.920
115,0.144,1.960
116,0.176,2.040
117,0.176,2.040
118,0.200,2.120
119,0.200,2.160
120,0.240,2.200
121,0.232,2.200
122,0.272,2.280
123,0.264,2.280
124,0.296,2.360
125,0.296,2.360
126,0.320,2.400
127,0.328,2.400
128,0.344,2.400
129,0.344,2.400
130,0.376,2.440
131,0.376,2.440
132,0.400,2.440
133,0.392,2.400
134,0.416,2.440
135,0.408,2.400
136,0.432,2.440
137,0.424,2.360
138,0.448,2.400
139,0.440,2.320
140,0.464,2.360
141,0.448,2.240
142,0.472,2.320
143,0.464,2.160
144,0.472,2.240
145,0.464,2.080
146,0.480,2.160
147,0.472,2.000
148,0.488,2.080
149,0.472,1.880
