,CH2(Unit:V),CH3(Unit:V)
Frequency:,95.000 kHz,95.000 kHz
Period:,10.526 uS,10.526 uS
PK-PK:,76.0mV,5.04V
1,0.016,1.480
2,0.028,1.600
3,0.016,1.360
4,0.028,1.480
5,0.016,1.240
6,0.028,1.360
7,0.012,1.120
8,0.020,1.240
9,0.016,1.000
10,0.024,1.080
11,0.016,0.840
12,0.024,1.000
13,0.012,0.720
14,0.024,0.840
15,0.012,0.560
16,0.020,0.680
17,0.004,0.440
18,0.020,0.560
19,0.012,0.280
20,0.020,0.400
21,0.008,0.120
22,0.024,0.240
23,0.004,-0.040
24,0.020,0.120
25,0.004,-0.160
26,0.012,-0.040
27,0.004,-0.320
28,0.016,-0.200
29,0.004,-0.480
30,0.016,-0.360
31,0.000,-0.640
32,0.016,-0.480
33,0.000,-0.760
34,0.012,-0.640
35,0.000,-0.920
36,0.008,-0.760
37,-0.004,-1.040
38,0.012,-0.920
39,-0.004,-1.200
40,0.004,-1.080
41,-0.004,-1.320
42,0.004,-1.200
43,-0.008,-1.440
44,0.004,-1.320
45,-0.008,-1.560
46,0.000,-1.480
47,-0.008,-1.680
48,0.004,-1.560
49,-0.012,-1.800
50,0.000,-1.680
51,-0.016,-1.920
52,0.000,-1.800
53,-0.012,-2.000
54,0.000,-1.920
55,-0.016,-2.080
56,-0.004,-2.000
57,-0.016,-2.160
58,-0.004,-2.120
59,-0.020,-2.240
60,-0.008,-2.160
61,-0.016,-2.320
62,-0.008,-2.280
63,-0.020,-2.400
64,-0.008,-2.320
65,-0.016,-2.440
66,-0.012,-2.400
67,-0.024,-2.480
68,-0.012,-2.440
69,-0.024,-2.520
70,-0.012,-2.480
71,-0.024,-2.560
72,-0.012,-2.520
73,-0.024,-2.560
74,-0.012,-2.560
75,-0.024,-2.560
76,-0.012,-2.560
77,-0.028,-2.600
78,-0.012,-2.560
79,-0.024,-2.600
80,-0.016,-2.560
81,-0.024,-2.560
82,-0.008,-2.560
83,-0.032,-2.560
84,-0.020,-2.520
85,-0.028,-2.520
86,-0.016,-2.480
87,-0.028,-2.480
88,-0.020,-2.440
89,-0.028,-2.440
90,-0.016,-2.400
91,-0.028,-2.400
92,-0.016,-2.320
93,-0.028,-2.320
94,-0.020,-2.280
95,-0.028,-2.240
96,-0.020,-2.200
97,-0.028,-2.160
98,-0.016,-2.120
99,-0.036,-2.080
100,-0.012,-2.000
101,-0.028,-2.000
102,-0.016,-1.920
103,-0.040,-1.920
104,-0.008,-1.800
105,-0.024,-1.800
106,-0.016,-1.680
107,-0.024,-1.680
108,-0.012,-1.560
109,-0.028,-1.560
110,-0.016,-1.480
111,-0.028,-1.440
112,-0.012,-1.320
113,-0.028,-1.320
114,-0.012,-1.200
115,-0.020,-1.200
116,-0.012,-1.040
117,-0.024,-1.040
118,-0.016,-0.920
119,-0.024,-0.920
120,-0.012,-0.760
121,-0.024,-0.760
122,-0.012,-0.640
123,-0.016,-0.640
124,-0.008,-0.480
125,-0.016,-0.480
126,-0.012,-0.360
127,-0.020,-0.320
128,-0.008,-0.200
129,-0.020,-0.200
130,-0.004,-0.040
131,-0.016,-0.040
132,-0.004,0.120
133,-0.012,0.120
134,0.000,0.240
135,-0.012,0.280
136,-0.004,0.400
137,-0.016,0.400
138,0.000,0.520
139,-0.012,0.560
140,0.000,0.680
141,-0.008,0.720
142,0.004,0.840
143,-0.008,0.840
144,0.004,0.960
145,-0.008,1.000
146,0.004,1.120
147,-0.004,1.120
148,0.008,1.240
149,0.000,1.240
150,0.008,1.360
151,-0.004,1.360
152,0.008,1.480
153,-0.004,1.480
154,0.008,1.600
155,0.004,1.600
156,0.008,1.720
157,0.000,1.720
158,0.012,1.800
159,0.004,1.800
160,0.012,1.920
161,0.000,1.920
162,0.020,2.000
163,0.008,2.000
164,0.020,2.080
165,0.004,2.080
166,0.016,2.160
167,0.008,2.160
168,0.020,2.200
169,0.008,2.200
170,0.020,2.280
171,0.008,2.280
172,0.020,2.320
173,0.012,2.320
174,0.020,2.360
175,0.012,2.360
176,0.024,2.400
177,0.012,2.400
178,0.024,2.400
179,0.012,2.440
180,0.024,2.440
181,0.016,2.440
182,0.024,2.440
183,0.020,2.440
184,0.028,2.440
185,0.020,2.440
186,0.024,2.440
187,0.012,2.400
188,0.028,2.440
189,0.016,2.360
190,0.024,2.400
191,0.016,2.320
192,0.032,2.360
193,0.016,2.280
194,0.032,2.320
195,0.016,2.240
196,0.032,2.280
197,0.016,2.160
198,0.024,2.240
199,0.020,2.120
200,0.028,2.160
201,0.020,2.040
202,0.032,2.080
203,0.020,1.920
204,0.028,2.000
205,0.016,1.840
206,0.028,1.920
207,0.020,1.760
208,0.024,1.840
209,0.016,1.640
210,0.032,1.720
211,0.020,1.520
212,0.024,1.640
213,0.016,1.400
214,0.024,1.520
215,0.016,1.280
216,0.024,1.400
217,0.016,1.160
218,0.028,1.280
219,0.012,1.040
220,0.028,1.160
221,0.016,0.880
222,0.024,1.000
223,0.008,0.720
224,0.024,0.880
225,0.012,0.600
226,0.020,0.720
227,0.008,0.440
228,0.024,0.600
229,0.012,0.320
230,0.020,0.440
231,0.008,0.160
232,0.020,0.280
233,0.008,0.000
234,0.016,0.160
235,0.008,-0.120
236,0.020,0.000
237,0.004,-0.280
238,0.016,-0.160
239,0.004,-0.440
240,0.012,-0.280
241,0.000,-0.600
242,0.016,-0.440
243,0.000,-0.720
244,0.012,-0.600
245,0.004,-0.880
246,0.008,-0.760
247,-0.004,-1.000
248,0.008,-0.880
249,-0.004,-1.160
250,0.008,-1.040
251,-0.008,-1.280
252,0.008,-1.160
253,-0.008,-1.400
254,0.008,-1.320
255,-0.004,-1.520
256,0.000,-1.400
257,-0.012,-1.640
258,0.004,-1.560
259,-0.012,-1.760
260,0.000,-1.640
261,-0.008,-1.880
262,0.000,-1.760
263,-0.012,-1.960
264,-0.004,-1.880
265,-0.012,-2.080
266,-0.008,-1.960
267,-0.016,-2.160
268,-0.004,-2.080
269,-0.016,-2.240
270,-0.004,-2.160
271,-0.016,-2.320
272,-0.008,-2.240
