,CH2(Unit:V),CH3(Unit:V)
Frequency:,56.600 kHz,56.600 kHz
Period:,17.668 uS,17.668 uS
PK-PK:,1.68V,4.88V
1,-0.340,-2.000
2,-0.300,-1.960
3,-0.320,-1.960
4,-0.280,-1.920
5,-0.280,-1.920
6,-0.260,-1.880
7,-0.260,-1.880
8,-0.220,-1.800
9,-0.220,-1.800
10,-0.200,-1.760
11,-0.200,-1.760
12,-0.160,-1.680
13,-0.160,-1.680
14,-0.140,-1.640
15,-0.140,-1.640
16,-0.120,-1.560
17,-0.100,-1.560
18,-0.080,-1.520
19,-0.080,-1.520
20,-0.060,-1.440
21,-0.060,-1.440
22,-0.020,-1.360
23,-0.020,-1.360
24,0.000,-1.280
25,0.020,-1.280
26,0.040,-1.240
27,0.040,-1.200
28,0.060,-1.160
29,0.060,-1.120
30,0.100,-1.080
31,0.100,-1.080
32,0.120,-1.000
33,0.140,-1.000
34,0.160,-0.920
35,0.160,-0.920
36,0.180,-0.840
37,0.180,-0.840
38,0.220,-0.760
39,0.220,-0.720
40,0.240,-0.680
41,0.240,-0.680
42,0.280,-0.600
43,0.280,-0.600
44,0.300,-0.480
45,0.300,-0.480
46,0.320,-0.440
47,0.320,-0.400
48,0.360,-0.320
49,0.360,-0.320
50,0.380,-0.240
51,0.380,-0.240
52,0.400,-0.160
53,0.400,-0.160
54,0.440,-0.080
55,0.440,-0.080
56,0.460,0.000
57,0.460,0.000
58,0.480,0.080
59,0.480,0.120
60,0.500,0.200
61,0.520,0.200
62,0.520,0.280
63,0.540,0.280
64,0.560,0.360
65,0.560,0.360
66,0.580,0.440
67,0.580,0.440
68,0.600,0.520
69,0.600,0.520
70,0.620,0.600
71,0.620,0.600
72,0.640,0.680
73,0.640,0.680
74,0.660,0.760
75,0.660,0.760
76,0.680,0.840
77,0.680,0.880
78,0.700,0.920
79,0.680,0.920
80,0.700,1.000
81,0.700,1.040
82,0.720,1.080
83,0.720,1.080
84,0.740,1.160
85,0.740,1.160
86,0.760,1.240
87,0.740,1.240
88,0.760,1.320
89,0.760,1.320
90,0.780,1.400
91,0.780,1.400
92,0.780,1.440
93,0.780,1.480
94,0.800,1.520
95,0.800,1.520
96,0.800,1.600
97,0.800,1.600
98,0.820,1.640
99,0.800,1.680
100,0.820,1.720
101,0.820,1.720
102,0.820,1.760
103,0.820,1.760
104,0.820,1.840
105,0.820,1.840
106,0.840,1.880
107,0.820,1.880
108,0.840,1.920
109,0.820,1.960
110,0.840,2.000
111,0.820,2.000
112,0.840,2.040
113,0.840,2.040
114,0.840,2.080
115,0.820,2.080
116,0.840,2.120
117,0.820,2.120
118,0.840,2.160
119,0.820,2.160
120,0.840,2.200
121,0.820,2.200
122,0.820,2.240
123,0.820,2.240
124,0.820,2.280
125,0.800,2.280
126,0.820,2.280
127,0.800,2.320
128,0.800,2.320
129,0.800,2.320
130,0.800,2.360
131,0.780,2.360
132,0.800,2.360
133,0.760,2.360
134,0.780,2.400
135,0.760,2.360
136,0.760,2.400
137,0.740,2.400
138,0.760,2.400
139,0.720,2.400
140,0.740,2.400
141,0.700,2.400
142,0.720,2.400
143,0.700,2.400
144,0.720,2.440
145,0.680,2.400
146,0.700,2.440
147,0.660,2.400
148,0.680,2.440
149,0.640,2.400
150,0.660,2.400
151,0.620,2.400
152,0.640,2.400
153,0.600,2.400
154,0.620,2.400
155,0.580,2.360
156,0.620,2.400
157,0.560,2.360
158,0.580,2.360
159,0.540,2.320
160,0.560,2.360
161,0.520,2.280
162,0.540,2.320
163,0.500,2.280
164,0.520,2.320
165,0.480,2.240
166,0.500,2.280
167,0.440,2.200
168,0.480,2.240
169,0.420,2.160
170,0.440,2.200
171,0.400,2.120
172,0.420,2.160
173,0.380,2.080
174,0.400,2.120
175,0.340,2.040
176,0.380,2.080
177,0.320,2.000
178,0.340,2.040
179,0.280,1.920
180,0.300,2.000
181,0.260,1.880
182,0.280,1.960
183,0.240,1.840
184,0.260,1.880
185,0.200,1.800
186,0.220,1.840
187,0.180,1.720
188,0.200,1.760
189,0.140,1.680
190,0.180,1.720
191,0.120,1.600
192,0.140,1.640
193,0.080,1.520
194,0.120,1.600
195,0.060,1.440
196,0.080,1.520
197,0.020,1.400
198,0.060,1.440
199,0.000,1.320
200,0.020,1.400
201,-0.040,1.240
202,0.000,1.320
203,-0.060,1.160
204,-0.040,1.240
205,-0.100,1.080
206,-0.060,1.160
207,-0.120,1.040
208,-0.100,1.080
209,-0.160,0.960
210,-0.120,1.000
211,-0.180,0.880
212,-0.160,0.960
213,-0.220,0.800
214,-0.180,0.840
215,-0.240,0.720
216,-0.220,0.760
217,-0.260,0.600
218,-0.240,0.680
