,CH2(Unit:V),CH3(Unit:V)
Frequency:,58.000 kHz,58.000 kHz
Period:,17.241 uS,17.241 uS
PK-PK:,412mV,4.96V
1,-0.192,-2.400
2,-0.188,-2.360
3,-0.188,-2.360
4,-0.188,-2.360
5,-0.188,-2.360
6,-0.180,-2.320
7,-0.180,-2.320
8,-0.176,-2.280
9,-0.180,-2.280
10,-0.176,-2.240
11,-0.180,-2.240
12,-0.176,-2.200
13,-0.176,-2.200
14,-0.168,-2.160
15,-0.168,-2.160
16,-0.164,-2.120
17,-0.164,-2.120
18,-0.160,-2.080
19,-0.164,-2.080
20,-0.156,-2.040
21,-0.160,-2.000
22,-0.152,-1.960
23,-0.152,-1.960
24,-0.144,-1.920
25,-0.152,-1.920
26,-0.140,-1.840
27,-0.144,-1.840
28,-0.140,-1.800
29,-0.140,-1.800
30,-0.132,-1.720
31,-0.132,-1.720
32,-0.124,-1.680
33,-0.128,-1.680
34,-0.120,-1.600
35,-0.124,-1.600
36,-0.116,-1.520
37,-0.120,-1.520
38,-0.108,-1.440
39,-0.112,-1.440
40,-0.104,-1.400
41,-0.104,-1.360
42,-0.096,-1.320
43,-0.096,-1.320
44,-0.092,-1.240
45,-0.092,-1.240
46,-0.088,-1.160
47,-0.088,-1.160
48,-0.076,-1.080
49,-0.080,-1.080
50,-0.072,-1.000
51,-0.072,-1.000
52,-0.064,-0.920
53,-0.064,-0.920
54,-0.060,-0.840
55,-0.060,-0.800
56,-0.048,-0.720
57,-0.052,-0.720
58,-0.044,-0.640
59,-0.044,-0.640
60,-0.036,-0.560
61,-0.036,-0.560
62,-0.028,-0.480
63,-0.032,-0.480
64,-0.020,-0.400
65,-0.024,-0.400
66,-0.012,-0.280
67,-0.016,-0.280
68,-0.004,-0.200
69,-0.008,-0.200
70,0.000,-0.120
71,0.000,-0.120
72,0.008,-0.040
73,0.004,-0.040
74,0.012,0.080
75,0.012,0.080
76,0.024,0.160
77,0.020,0.160
78,0.028,0.240
79,0.028,0.240
80,0.036,0.320
81,0.036,0.360
82,0.040,0.440
83,0.044,0.440
84,0.052,0.520
85,0.052,0.520
86,0.056,0.600
87,0.060,0.600
88,0.064,0.680
89,0.064,0.680
90,0.072,0.760
91,0.068,0.800
92,0.080,0.840
93,0.080,0.880
94,0.084,0.960
95,0.084,0.960
96,0.092,1.040
97,0.088,1.040
98,0.096,1.120
99,0.096,1.120
100,0.104,1.200
101,0.104,1.200
102,0.112,1.280
103,0.112,1.280
104,0.116,1.320
105,0.112,1.360
106,0.120,1.400
107,0.120,1.440
108,0.128,1.480
109,0.128,1.480
110,0.132,1.560
111,0.132,1.560
112,0.140,1.640
113,0.136,1.640
114,0.140,1.720
115,0.140,1.720
116,0.148,1.760
117,0.144,1.760
118,0.156,1.840
119,0.152,1.840
120,0.160,1.880
121,0.156,1.880
122,0.160,1.960
123,0.160,1.960
124,0.168,2.000
125,0.164,2.000
126,0.172,2.040
127,0.168,2.040
128,0.176,2.120
129,0.172,2.120
130,0.176,2.160
131,0.176,2.160
132,0.180,2.200
133,0.180,2.200
134,0.184,2.240
135,0.184,2.240
136,0.188,2.280
137,0.184,2.280
138,0.188,2.320
139,0.188,2.320
140,0.192,2.320
141,0.188,2.320
142,0.192,2.360
143,0.192,2.360
144,0.196,2.400
145,0.196,2.400
146,0.196,2.400
147,0.196,2.400
148,0.200,2.440
149,0.196,2.440
150,0.200,2.440
151,0.196,2.440
152,0.200,2.480
153,0.196,2.480
154,0.200,2.480
155,0.200,2.480
156,0.200,2.480
157,0.196,2.480
158,0.200,2.480
159,0.196,2.480
160,0.200,2.480
161,0.196,2.480
162,0.200,2.480
163,0.196,2.480
164,0.200,2.480
165,0.192,2.480
166,0.196,2.480
167,0.192,2.440
168,0.196,2.480
169,0.192,2.440
170,0.196,2.440
171,0.192,2.400
