,CH2(Unit:V),CH3(Unit:V)
Frequency:,71.000 kHz,71.000 kHz
Period:,14.084 uS,14.084 uS
PK-PK:,2.04V ?,4.92V
1,0.904,2.320
2,0.928,2.360
3,0.880,2.280
4,0.904,2.320
5,0.864,2.240
6,0.880,2.280
7,0.832,2.200
8,0.864,2.240
9,0.808,2.160
10,0.832,2.200
11,0.776,2.120
12,0.808,2.160
13,0.744,2.040
14,0.776,2.120
15,0.712,2.000
16,0.744,2.040
17,0.680,1.920
18,0.704,2.000
19,0.648,1.840
20,0.680,1.920
21,0.608,1.760
22,0.648,1.840
23,0.576,1.680
24,0.608,1.760
25,0.536,1.600
26,0.568,1.680
27,0.488,1.520
28,0.528,1.600
29,0.456,1.440
30,0.488,1.520
31,0.408,1.360
32,0.456,1.440
33,0.368,1.280
34,0.408,1.360
35,0.320,1.160
36,0.368,1.240
37,0.280,1.080
38,0.328,1.160
39,0.240,0.960
40,0.288,1.040
41,0.200,0.880
42,0.240,0.960
43,0.144,0.760
44,0.192,0.840
45,0.112,0.640
46,0.144,0.760
47,0.056,0.560
48,0.104,0.640
49,0.008,0.440
50,0.056,0.560
51,-0.032,0.320
52,0.008,0.440
53,-0.072,0.240
54,-0.040,0.320
55,-0.120,0.120
56,-0.080,0.200
57,-0.160,0.000
58,-0.128,0.120
59,-0.216,-0.120
60,-0.168,0.000
61,-0.256,-0.200
62,-0.216,-0.120
63,-0.296,-0.320
64,-0.256,-0.200
65,-0.336,-0.440
66,-0.288,-0.320
67,-0.384,-0.520
68,-0.344,-0.440
69,-0.432,-0.640
70,-0.392,-0.520
71,-0.472,-0.720
72,-0.432,-0.640
73,-0.504,-0.840
74,-0.464,-0.760
75,-0.544,-0.960
76,-0.504,-0.880
77,-0.584,-1.040
78,-0.544,-0.960
79,-0.624,-1.160
80,-0.584,-1.080
81,-0.656,-1.240
82,-0.624,-1.160
83,-0.688,-1.320
84,-0.656,-1.240
85,-0.720,-1.440
86,-0.696,-1.360
87,-0.752,-1.520
88,-0.720,-1.440
89,-0.784,-1.600
90,-0.760,-1.520
91,-0.808,-1.680
92,-0.784,-1.600
93,-0.840,-1.760
94,-0.816,-1.680
95,-0.864,-1.840
96,-0.840,-1.760
97,-0.880,-1.920
98,-0.864,-1.840
99,-0.904,-1.960
