,CH2(Unit:V),CH3(Unit:V)
Frequency:,73.000 kHz,73.000 kHz
Period:,13.699 uS,13.699 uS
PK-PK:,2.01V ?,4.92V
1,0.952,2.400
2,0.968,2.440
3,0.968,2.440
4,0.984,2.440
5,0.976,2.440
6,0.984,2.440
7,0.976,2.440
8,0.992,2.480
9,0.984,2.480
10,1.000,2.480
11,1.000,2.440
12,1.008,2.480
13,0.992,2.440
14,1.000,2.440
15,0.992,2.440
16,1.000,2.440
17,0.992,2.400
18,1.000,2.440
19,0.992,2.400
20,1.000,2.400
21,0.976,2.360
22,0.992,2.400
23,0.968,2.320
24,0.976,2.360
25,0.952,2.280
26,0.968,2.320
27,0.944,2.240
28,0.960,2.280
29,0.928,2.160
30,0.952,2.240
31,0.904,2.120
32,0.928,2.160
33,0.888,2.080
34,0.904,2.120
35,0.872,2.000
36,0.888,2.080
37,0.848,1.920
38,0.864,2.000
39,0.816,1.880
40,0.840,1.920
41,0.784,1.800
42,0.816,1.880
43,0.760,1.720
44,0.784,1.800
45,0.736,1.640
46,0.768,1.720
47,0.704,1.560
48,0.728,1.640
49,0.664,1.440
50,0.704,1.520
51,0.632,1.360
52,0.664,1.440
53,0.592,1.280
54,0.624,1.360
55,0.560,1.160
56,0.600,1.240
57,0.520,1.040
58,0.552,1.160
59,0.480,0.960
60,0.520,1.040
61,0.440,0.840
62,0.472,0.960
63,0.400,0.760
64,0.440,0.840
65,0.360,0.640
66,0.392,0.760
67,0.312,0.520
68,0.352,0.640
69,0.272,0.440
70,0.312,0.520
71,0.224,0.320
72,0.264,0.400
73,0.184,0.200
74,0.224,0.320
75,0.128,0.080
76,0.176,0.200
77,0.096,-0.040
78,0.128,0.080
79,0.048,-0.160
80,0.088,-0.040
81,0.000,-0.240
82,0.048,-0.160
83,-0.048,-0.360
84,0.000,-0.240
85,-0.088,-0.480
86,-0.048,-0.360
87,-0.136,-0.600
88,-0.096,-0.480
89,-0.184,-0.680
90,-0.136,-0.600
91,-0.224,-0.800
92,-0.176,-0.720
93,-0.272,-0.920
94,-0.232,-0.800
95,-0.312,-1.000
96,-0.272,-0.920
97,-0.352,-1.120
98,-0.312,-1.000
99,-0.400,-1.200
100,-0.360,-1.120
101,-0.440,-1.320
102,-0.400,-1.200
103,-0.480,-1.400
104,-0.440,-1.320
105,-0.512,-1.480
106,-0.480,-1.400
107,-0.560,-1.560
108,-0.512,-1.520
109,-0.600,-1.680
110,-0.552,-1.600
111,-0.632,-1.760
112,-0.600,-1.680
113,-0.664,-1.840
114,-0.632,-1.760
115,-0.696,-1.880
116,-0.656,-1.840
117,-0.720,-1.960
118,-0.696,-1.880
119,-0.760,-2.040
120,-0.736,-1.960
121,-0.784,-2.080
122,-0.760,-2.040
123,-0.808,-2.160
124,-0.784,-2.120
125,-0.840,-2.200
126,-0.808,-2.160
127,-0.864,-2.240
128,-0.832,-2.200
129,-0.880,-2.280
130,-0.864,-2.240
131,-0.896,-2.320
132,-0.880,-2.280
133,-0.920,-2.360
134,-0.896,-2.320
135,-0.936,-2.400
136,-0.912,-2.360
137,-0.952,-2.400
138,-0.936,-2.400
139,-0.960,-2.440
140,-0.944,-2.400
141,-0.968,-2.440
142,-0.952,-2.440
143,-0.984,-2.440
144,-0.968,-2.440
145,-0.984,-2.440
146,-0.976,-2.440
147,-0.992,-2.440
148,-0.976,-2.440
149,-0.984,-2.440
150,-0.976,-2.440
151,-0.984,-2.440
152,-0.976,-2.440
153,-0.992,-2.440
154,-0.976,-2.400
155,-0.992,-2.400
156,-0.976,-2.400
157,-0.976,-2.400
158,-0.968,-2.360
159,-0.968,-2.360
160,-0.952,-2.320
161,-0.968,-2.320
162,-0.952,-2.280
163,-0.952,-2.280
164,-0.936,-2.240
165,-0.936,-2.240
166,-0.920,-2.200
167,-0.920,-2.200
168,-0.904,-2.160
169,-0.904,-2.120
170,-0.888,-2.080
171,-0.888,-2.080
172,-0.864,-2.000
173,-0.864,-2.000
174,-0.840,-1.960
175,-0.840,-1.960
176,-0.808,-1.880
177,-0.816,-1.880
178,-0.792,-1.800
179,-0.792,-1.800
180,-0.768,-1.720
181,-0.768,-1.720
182,-0.736,-1.640
183,-0.728,-1.640
184,-0.704,-1.560
185,-0.696,-1.560
186,-0.664,-1.480
187,-0.664,-1.480
188,-0.640,-1.400
189,-0.640,-1.400
190,-0.600,-1.280
191,-0.600,-1.280
192,-0.560,-1.200
193,-0.560,-1.200
194,-0.520,-1.080
195,-0.528,-1.080
196,-0.488,-1.000
197,-0.488,-1.000
198,-0.448,-0.880
