,CH2(Unit:V),CH3(Unit:V)
Frequency:,91.000 kHz,91.000 kHz
Period:,10.989 uS,10.989 uS
PK-PK:,720mV,5.04V
1,0.240,-0.640
2,0.260,-0.480
3,0.220,-0.760
4,0.240,-0.640
5,0.200,-0.880
6,0.220,-0.760
7,0.200,-1.040
8,0.200,-0.880
9,0.180,-1.160
10,0.200,-1.040
11,0.160,-1.280
12,0.180,-1.160
13,0.140,-1.400
14,0.160,-1.280
15,0.120,-1.520
16,0.140,-1.400
17,0.100,-1.640
18,0.120,-1.520
19,0.080,-1.720
20,0.100,-1.640
21,0.060,-1.840
22,0.080,-1.760
23,0.060,-1.920
24,0.060,-1.840
25,0.040,-2.000
26,0.040,-1.920
27,0.020,-2.080
28,0.040,-2.040
29,-0.020,-2.160
30,0.000,-2.120
31,-0.020,-2.240
32,0.000,-2.160
33,-0.040,-2.320
34,-0.040,-2.240
35,-0.060,-2.360
36,-0.040,-2.280
37,-0.080,-2.400
38,-0.060,-2.360
39,-0.120,-2.440
40,-0.080,-2.400
41,-0.120,-2.440
42,-0.100,-2.440
43,-0.140,-2.480
44,-0.120,-2.440
45,-0.160,-2.480
46,-0.140,-2.480
47,-0.180,-2.480
48,-0.160,-2.480
49,-0.200,-2.520
50,-0.180,-2.480
51,-0.220,-2.480
52,-0.200,-2.480
53,-0.220,-2.480
54,-0.200,-2.440
55,-0.240,-2.480
56,-0.220,-2.440
57,-0.260,-2.440
58,-0.240,-2.400
59,-0.260,-2.400
60,-0.260,-2.360
61,-0.280,-2.360
62,-0.260,-2.320
63,-0.300,-2.280
64,-0.280,-2.240
65,-0.300,-2.240
66,-0.300,-2.160
67,-0.320,-2.160
68,-0.300,-2.120
69,-0.320,-2.120
70,-0.300,-2.040
71,-0.320,-2.000
72,-0.320,-1.920
73,-0.340,-1.920
74,-0.320,-1.840
75,-0.340,-1.840
76,-0.340,-1.720
77,-0.340,-1.720
78,-0.340,-1.640
79,-0.340,-1.640
80,-0.340,-1.520
81,-0.360,-1.520
82,-0.340,-1.400
83,-0.360,-1.400
84,-0.340,-1.280
85,-0.360,-1.280
86,-0.340,-1.160
87,-0.360,-1.160
88,-0.340,-1.040
89,-0.360,-1.040
90,-0.340,-0.920
91,-0.340,-0.880
92,-0.340,-0.760
93,-0.340,-0.760
94,-0.340,-0.640
95,-0.340,-0.640
96,-0.320,-0.480
97,-0.340,-0.480
98,-0.320,-0.360
99,-0.320,-0.360
100,-0.320,-0.200
101,-0.320,-0.200
102,-0.300,-0.080
103,-0.300,-0.080
104,-0.300,0.080
105,-0.300,0.080
106,-0.280,0.200
107,-0.280,0.240
108,-0.280,0.360
109,-0.280,0.360
110,-0.260,0.480
111,-0.260,0.520
112,-0.240,0.640
113,-0.240,0.640
114,-0.220,0.760
115,-0.240,0.800
116,-0.220,0.920
117,-0.220,0.920
118,-0.200,1.040
119,-0.200,1.040
120,-0.180,1.160
121,-0.180,1.160
122,-0.160,1.280
123,-0.180,1.320
124,-0.160,1.400
125,-0.140,1.440
126,-0.140,1.520
127,-0.140,1.520
128,-0.120,1.640
129,-0.120,1.640
130,-0.100,1.720
131,-0.100,1.760
132,-0.080,1.840
133,-0.080,1.840
134,-0.060,1.920
135,-0.060,1.960
136,-0.040,2.040
137,-0.040,2.040
138,-0.020,2.120
139,-0.020,2.120
140,0.000,2.200
141,0.000,2.200
142,0.020,2.240
143,0.020,2.240
144,0.040,2.320
145,0.040,2.320
146,0.060,2.360
147,0.060,2.360
148,0.080,2.400
149,0.080,2.400
150,0.100,2.440
151,0.100,2.440
152,0.120,2.480
153,0.120,2.480
154,0.140,2.480
155,0.140,2.480
156,0.160,2.480
157,0.160,2.480
158,0.160,2.520
159,0.160,2.480
160,0.180,2.520
161,0.180,2.480
162,0.200,2.480
163,0.200,2.480
164,0.220,2.480
165,0.220,2.440
166,0.240,2.440
167,0.240,2.400
168,0.240,2.440
169,0.240,2.360
170,0.260,2.400
171,0.260,2.320
172,0.280,2.360
173,0.260,2.240
174,0.300,2.320
175,0.280,2.160
176,0.300,2.240
177,0.280,2.120
178,0.300,2.160
179,0.300,2.000
180,0.320,2.120
181,0.300,1.960
182,0.320,2.000
183,0.320,1.840
184,0.320,1.920
185,0.320,1.760
186,0.340,1.840
187,0.320,1.640
188,0.340,1.720
189,0.340,1.520
190,0.340,1.640
191,0.340,1.400
192,0.340,1.520
193,0.340,1.280
194,0.340,1.400
195,0.340,1.160
