                     CH2(Unit:V)     CH3(Unit:V)
Frequency:            67.000 kHz      67.000 kHz
Period:                14.925 uS       14.925 uS
PK-PK:                     536mV           4.96V
1                         -0.168           0.600
2                         -0.152           0.680
3                         -0.176           0.480
4                         -0.160           0.600
5                         -0.184           0.400
6                         -0.164           0.480
7                         -0.188           0.280
8                         -0.176           0.400
9                         -0.196           0.200
10                        -0.184           0.280
11                        -0.204           0.080
12                        -0.192           0.160
13                        -0.212          -0.040
14                        -0.200           0.080
15                        -0.220          -0.120
16                        -0.204          -0.040
17                        -0.224          -0.240
18                        -0.216          -0.120
19                        -0.228          -0.320
20                        -0.216          -0.240
21                        -0.232          -0.440
22                        -0.220          -0.320
23                        -0.240          -0.520
24                        -0.228          -0.440
25                        -0.248          -0.640
26                        -0.232          -0.560
27                        -0.248          -0.720
28                        -0.236          -0.640
29                        -0.248          -0.840
30                        -0.240          -0.760
31                        -0.256          -0.920
32                        -0.244          -0.840
33                        -0.260          -1.040
34                        -0.248          -0.960
35                        -0.260          -1.120
36                        -0.248          -1.040
37                        -0.260          -1.240
38                        -0.252          -1.120
39                        -0.260          -1.320
40                        -0.252          -1.240
41                        -0.264          -1.400
42                        -0.252          -1.320
43                        -0.264          -1.480
44                        -0.256          -1.400
45                        -0.264          -1.560
46                        -0.252          -1.480
47                        -0.264          -1.640
48                        -0.252          -1.600
49                        -0.268          -1.720
50                        -0.252          -1.640
51                        -0.260          -1.800
52                        -0.252          -1.760
53                        -0.260          -1.880
54                        -0.248          -1.800
55                        -0.256          -1.960
56                        -0.240          -1.880
57                        -0.256          -2.000
58                        -0.244          -1.960
59                        -0.256          -2.080
60                        -0.240          -2.000
61                        -0.248          -2.120
62                        -0.240          -2.080
63                        -0.244          -2.200
64                        -0.228          -2.120
65                        -0.240          -2.240
66                        -0.228          -2.200
67                        -0.236          -2.280
68                        -0.228          -2.240
69                        -0.228          -2.320
70                        -0.224          -2.280
71                        -0.224          -2.360
72                        -0.212          -2.320
73                        -0.220          -2.400
74                        -0.208          -2.360
75                        -0.212          -2.440
76                        -0.200          -2.400
77                        -0.204          -2.480
78                        -0.192          -2.440
79                        -0.200          -2.480
80                        -0.184          -2.480
81                        -0.188          -2.520
82                        -0.180          -2.480
83                        -0.184          -2.520
84                        -0.172          -2.520
85                        -0.176          -2.520
86                        -0.164          -2.520
87                        -0.168          -2.520
88                        -0.148          -2.520
89                        -0.160          -2.560
90                        -0.144          -2.520
91                        -0.152          -2.520
92                        -0.140          -2.520
93                        -0.144          -2.520
94                        -0.124          -2.520
95                        -0.132          -2.520
96                        -0.120          -2.520
97                        -0.120          -2.520
98                        -0.108          -2.480
99                        -0.112          -2.480
100                       -0.096          -2.480
101                       -0.100          -2.480
102                       -0.088          -2.440
103                       -0.096          -2.440
104                       -0.076          -2.400
105                       -0.084          -2.400
106                       -0.068          -2.400
107                       -0.072          -2.360
108                       -0.056          -2.360
109                       -0.060          -2.360
110                       -0.044          -2.320
111                       -0.052          -2.320
112                       -0.036          -2.280
113                       -0.040          -2.280
114                       -0.024          -2.200
115                       -0.028          -2.200
116                       -0.012          -2.160
117                       -0.020          -2.160
118                        0.008          -2.080
119                       -0.008          -2.080
120                        0.016          -2.040
121                        0.000          -2.040
122                        0.024          -1.960
123                        0.016          -1.960
124                        0.036          -1.920
125                        0.028          -1.920
126                        0.040          -1.840
127                        0.036          -1.840
128                        0.052          -1.760
129                        0.048          -1.760
130                        0.060          -1.680
131                        0.060          -1.680
132                        0.076          -1.600
133                        0.068          -1.600
134                        0.080          -1.520
135                        0.080          -1.520
136                        0.096          -1.440
137                        0.084          -1.440
138                        0.104          -1.360
139                        0.100          -1.320
140                        0.116          -1.240
141                        0.108          -1.240
142                        0.124          -1.160
143                        0.120          -1.160
144                        0.132          -1.080
145                        0.128          -1.080
146                        0.144          -0.960
147                        0.132          -0.960
148                        0.152          -0.880
149                        0.148          -0.880
150                        0.164          -0.760
151                        0.152          -0.760
152                        0.168          -0.680
153                        0.164          -0.680
154                        0.176          -0.560
155                        0.172          -0.560
156                        0.184          -0.480
157                        0.180          -0.480
158                        0.196          -0.360
159                        0.188          -0.360
160                        0.200          -0.280
161                        0.192          -0.280
162                        0.208          -0.160
163                        0.200          -0.160
164                        0.212          -0.080
165                        0.208          -0.040
166                        0.220           0.040
167                        0.212           0.040
168                        0.228           0.160
169                        0.220           0.160
170                        0.232           0.240
171                        0.216           0.240
172                        0.248           0.360
173                        0.224           0.360
174                        0.248           0.440
175                        0.236           0.480
176                        0.248           0.560
177                        0.236           0.560
178                        0.252           0.640
179                        0.236           0.680
180                        0.256           0.760
181                        0.240           0.760
182                        0.260           0.840
183                        0.244           0.880
184                        0.260           0.960
185                        0.248           0.960
186                        0.264           1.040
187                        0.252           1.040
188                        0.260           1.120
189                        0.252           1.120
190                        0.264           1.240
191                        0.256           1.240
192                        0.264           1.320
193                        0.256           1.320
194                        0.264           1.400
195                        0.252           1.400
196                        0.264           1.480
197                        0.256           1.480
198                        0.264           1.560
199                        0.248           1.560
200                        0.268           1.640
201                        0.252           1.640
202                        0.260           1.720
203                        0.248           1.720
204                        0.260           1.760
205                        0.248           1.800
206                        0.252           1.840
207                        0.244           1.840
208                        0.256           1.920
209                        0.240           1.920
210                        0.252           1.960
211                        0.236           2.000
212                        0.248           2.040
213                        0.232           2.040
214                        0.240           2.080
215                        0.228           2.080
216                        0.236           2.120
217                        0.224           2.120
218                        0.236           2.200
219                        0.220           2.200
220                        0.228           2.240
221                        0.212           2.240
222                        0.220           2.280
223                        0.200           2.280
224                        0.216           2.280
225                        0.196           2.280
226                        0.212           2.320
227                        0.192           2.320
228                        0.208           2.360
229                        0.180           2.360
230                        0.200           2.360
231                        0.176           2.360
232                        0.188           2.400
233                        0.168           2.400
234                        0.180           2.400
235                        0.160           2.400
236                        0.172           2.400
237                        0.152           2.400
238                        0.164           2.400
239                        0.136           2.400
240                        0.160           2.400
241                        0.136           2.400
242                        0.148           2.400
243                        0.124           2.400
244                        0.136           2.400
245                        0.116           2.400
246                        0.128           2.400
247                        0.104           2.360
248                        0.116           2.400
249                        0.096           2.320
250                        0.108           2.360
251                        0.084           2.320
252                        0.100           2.320
253                        0.076           2.280
254                        0.088           2.320
255                        0.060           2.240
256                        0.080           2.280
257                        0.052           2.200
258                        0.068           2.240
259                        0.044           2.160
260                        0.056           2.200
261                        0.032           2.120
262                        0.048           2.160
263                        0.020           2.080
264                        0.036           2.120
265                        0.012           2.000
266                        0.024           2.080
267                        0.000           1.960
268                        0.012           2.000
269                       -0.008           1.880
270                        0.004           1.960
271                       -0.024           1.840
272                       -0.004           1.880
273                       -0.036           1.760
274                       -0.016           1.840
275                       -0.044           1.680
276                       -0.032           1.760
277                       -0.052           1.600
278                       -0.040           1.680
279                       -0.064           1.520
280                       -0.052           1.600
281                       -0.076           1.440
282                       -0.064           1.520
283                       -0.088           1.360
284                       -0.072           1.440
285                       -0.100           1.280
286                       -0.084           1.360
287                       -0.108           1.200
288                       -0.088           1.280
289                       -0.120           1.080
290                       -0.104           1.200
291                       -0.128           1.000
292                       -0.112           1.080
293                       -0.136           0.920
294                       -0.120           1.000
295                       -0.148           0.840
296                       -0.132           0.920
297                       -0.152           0.720
298                       -0.136           0.800
299                       -0.164           0.640
300                       -0.148           0.720
301                       -0.168           0.520
302                       -0.156           0.600
303                       -0.184           0.440
304                       -0.168           0.520
305                       -0.188           0.320
306                       -0.172           0.400
307                       -0.200           0.200
308                       -0.184           0.320
309                       -0.204           0.120
310                       -0.192           0.200
311                       -0.208           0.000
312                       -0.196           0.120
313                       -0.212          -0.080
314                       -0.200           0.000
315                       -0.224          -0.200
316                       -0.208          -0.120
317                       -0.228          -0.320
318                       -0.216          -0.200
319                       -0.232          -0.400
320                       -0.224          -0.320
321                       -0.236          -0.520
322                       -0.228          -0.400
323                       -0.244          -0.600
324                       -0.228          -0.520
325                       -0.248          -0.720
326                       -0.240          -0.600
327                       -0.252          -0.800
328                       -0.240          -0.720
329                       -0.252          -0.920
330                       -0.244          -0.800
331                       -0.252          -1.000
332                       -0.244          -0.920
333                       -0.260          -1.120
334                       -0.252          -1.000
335                       -0.260          -1.200
336                       -0.248          -1.120
337                       -0.260          -1.280
338                       -0.252          -1.200
339                       -0.264          -1.360
340                       -0.252          -1.280
341                       -0.264          -1.480
342                       -0.252          -1.400
343                       -0.268          -1.560
344                       -0.252          -1.480
345                       -0.264          -1.640
346                       -0.252          -1.560
347                       -0.260          -1.720
348                       -0.252          -1.640
349                       -0.260          -1.800
350                       -0.252          -1.720
351                       -0.260          -1.840
352                       -0.248          -1.800
353                       -0.260          -1.920
354                       -0.248          -1.880
355                       -0.256          -2.000
356                       -0.244          -1.920
357                       -0.252          -2.080
358                       -0.244          -2.000
359                       -0.248          -2.120
360                       -0.240          -2.080
361                       -0.248          -2.160
362                       -0.236          -2.120
363                       -0.244          -2.240
364                       -0.228          -2.200
365                       -0.236          -2.280
366                       -0.224          -2.240
367                       -0.232          -2.320
368                       -0.220          -2.280
369                       -0.228          -2.360
