                     CH2(Unit:V)     CH3(Unit:V)
Frequency:            71.400 kHz      71.400 kHz
Period:                14.006 uS       14.006 uS
PK-PK:                     772mV           4.88V
1                          0.312           2.280
2                          0.324           2.320
3                          0.300           2.280
4                          0.312           2.280
5                          0.292           2.240
6                          0.304           2.280
7                          0.280           2.200
8                          0.296           2.240
9                          0.268           2.160
10                         0.288           2.200
11                         0.256           2.080
12                         0.272           2.120
13                         0.248           2.040
14                         0.256           2.080
15                         0.232           2.000
16                         0.244           2.040
17                         0.216           1.920
18                         0.232           2.000
19                         0.204           1.880
20                         0.220           1.920
21                         0.188           1.800
22                         0.208           1.880
23                         0.176           1.720
24                         0.188           1.800
25                         0.160           1.640
26                         0.176           1.720
27                         0.140           1.560
28                         0.160           1.640
29                         0.128           1.480
30                         0.144           1.560
31                         0.112           1.400
32                         0.132           1.480
33                         0.096           1.320
34                         0.116           1.400
35                         0.076           1.240
36                         0.096           1.320
37                         0.060           1.120
38                         0.080           1.200
39                         0.044           1.040
40                         0.064           1.120
41                         0.028           0.920
42                         0.048           1.040
43                         0.012           0.840
44                         0.032           0.920
45                        -0.004           0.720
46                         0.008           0.840
47                        -0.024           0.640
48                        -0.008           0.720
49                        -0.036           0.520
50                        -0.024           0.600
51                        -0.060           0.400
52                        -0.036           0.520
53                        -0.076           0.320
54                        -0.052           0.400
55                        -0.088           0.200
56                        -0.076           0.280
57                        -0.108           0.080
58                        -0.088           0.200
59                        -0.124           0.000
60                        -0.104           0.080
61                        -0.140          -0.120
62                        -0.120          -0.040
63                        -0.152          -0.240
64                        -0.136          -0.160
65                        -0.168          -0.360
66                        -0.152          -0.240
67                        -0.184          -0.440
68                        -0.164          -0.360
69                        -0.200          -0.560
70                        -0.184          -0.440
71                        -0.212          -0.680
72                        -0.196          -0.560
73                        -0.232          -0.760
74                        -0.216          -0.680
75                        -0.240          -0.880
76                        -0.224          -0.760
77                        -0.256          -0.960
78                        -0.240          -0.880
79                        -0.268          -1.080
80                        -0.252          -1.000
81                        -0.276          -1.160
82                        -0.264          -1.080
83                        -0.292          -1.280
84                        -0.272          -1.160
85                        -0.304          -1.360
86                        -0.284          -1.280
87                        -0.316          -1.440
88                        -0.296          -1.360
89                        -0.324          -1.560
90                        -0.304          -1.480
91                        -0.328          -1.640
92                        -0.316          -1.560
93                        -0.336          -1.720
94                        -0.324          -1.640
95                        -0.348          -1.800
96                        -0.336          -1.720
97                        -0.352          -1.840
98                        -0.344          -1.800
99                        -0.360          -1.920
100                       -0.348          -1.880
101                       -0.364          -2.000
102                       -0.352          -1.920
103                       -0.372          -2.080
104                       -0.360          -2.000
105                       -0.376          -2.120
106                       -0.364          -2.080
107                       -0.380          -2.200
108                       -0.368          -2.120
109                       -0.380          -2.240
110                       -0.368          -2.200
111                       -0.380          -2.280
112                       -0.372          -2.240
113                       -0.384          -2.320
114                       -0.376          -2.280
115                       -0.384          -2.360
116                       -0.372          -2.320
117                       -0.384          -2.400
118                       -0.372          -2.360
119                       -0.380          -2.440
120                       -0.372          -2.400
121                       -0.384          -2.440
122                       -0.376          -2.440
123                       -0.380          -2.480
124                       -0.368          -2.440
125                       -0.376          -2.480
126                       -0.364          -2.480
127                       -0.372          -2.480
128                       -0.360          -2.480
129                       -0.364          -2.480
130                       -0.356          -2.480
131                       -0.364          -2.480
132                       -0.352          -2.480
133                       -0.356          -2.480
134                       -0.344          -2.480
135                       -0.348          -2.480
136                       -0.336          -2.480
137                       -0.340          -2.480
138                       -0.328          -2.440
139                       -0.336          -2.480
140                       -0.320          -2.440
141                       -0.324          -2.440
142                       -0.312          -2.400
143                       -0.316          -2.400
144                       -0.300          -2.400
145                       -0.304          -2.400
146                       -0.292          -2.360
147                       -0.296          -2.360
148                       -0.280          -2.320
149                       -0.284          -2.320
150                       -0.268          -2.280
151                       -0.272          -2.280
152                       -0.256          -2.240
153                       -0.256          -2.200
154                       -0.244          -2.160
155                       -0.248          -2.160
156                       -0.232          -2.120
157                       -0.236          -2.120
158                       -0.220          -2.040
159                       -0.220          -2.040
160                       -0.204          -2.000
161                       -0.204          -2.000
162                       -0.192          -1.920
163                       -0.192          -1.920
164                       -0.172          -1.840
165                       -0.180          -1.840
166                       -0.160          -1.760
167                       -0.160          -1.760
168                       -0.144          -1.680
169                       -0.144          -1.680
170                       -0.128          -1.600
171                       -0.128          -1.600
172                       -0.112          -1.520
173                       -0.112          -1.520
174                       -0.092          -1.440
175                       -0.100          -1.440
176                       -0.080          -1.360
177                       -0.080          -1.320
178                       -0.060          -1.240
179                       -0.068          -1.240
180                       -0.044          -1.160
181                       -0.044          -1.160
182                       -0.028          -1.040
183                       -0.028          -1.040
184                       -0.012          -0.960
185                       -0.012          -0.960
186                        0.008          -0.840
187                        0.004          -0.840
188                        0.024          -0.760
189                        0.020          -0.760
190                        0.036          -0.640
191                        0.040          -0.640
192                        0.060          -0.520
193                        0.052          -0.520
194                        0.072          -0.440
195                        0.072          -0.440
196                        0.096          -0.320
197                        0.092          -0.320
198                        0.104          -0.200
199                        0.104          -0.200
200                        0.124          -0.120
201                        0.120          -0.080
202                        0.136           0.000
203                        0.136           0.000
204                        0.152           0.120
205                        0.156           0.120
206                        0.168           0.240
207                        0.168           0.240
208                        0.180           0.320
209                        0.184           0.320
210                        0.196           0.440
211                        0.196           0.440
212                        0.216           0.560
213                        0.212           0.560
214                        0.228           0.640
215                        0.228           0.640
216                        0.240           0.760
217                        0.240           0.760
218                        0.252           0.880
219                        0.252           0.840
220                        0.264           0.960
221                        0.264           0.960
222                        0.280           1.040
223                        0.276           1.040
224                        0.288           1.160
225                        0.288           1.160
226                        0.300           1.240
227                        0.288           1.240
228                        0.312           1.320
229                        0.308           1.320
230                        0.320           1.400
231                        0.320           1.440
232                        0.328           1.520
233                        0.328           1.520
234                        0.340           1.600
235                        0.332           1.600
236                        0.348           1.680
237                        0.336           1.680
238                        0.352           1.720
239                        0.348           1.760
240                        0.360           1.800
241                        0.352           1.800
242                        0.364           1.880
243                        0.360           1.880
244                        0.372           1.960
245                        0.364           1.960
246                        0.376           2.000
247                        0.368           2.000
248                        0.376           2.040
249                        0.368           2.040
250                        0.380           2.120
251                        0.372           2.120
252                        0.380           2.160
253                        0.372           2.160
254                        0.380           2.200
