                     CH2(Unit:V)     CH3(Unit:V)
Frequency:            60.000 kHz      60.000 kHz
Period:                16.667 uS       16.667 uS
PK-PK:                     304mV           5.00V
1                         -0.068          -2.520
2                         -0.056          -2.520
3                         -0.060          -2.520
4                         -0.052          -2.520
5                         -0.052          -2.560
6                         -0.048          -2.520
7                         -0.048          -2.560
8                         -0.040          -2.560
9                         -0.048          -2.560
10                        -0.036          -2.560
11                        -0.040          -2.560
12                        -0.028          -2.560
13                        -0.032          -2.560
14                        -0.024          -2.560
15                        -0.028          -2.560
16                        -0.020          -2.560
17                        -0.024          -2.560
18                        -0.012          -2.520
19                        -0.020          -2.520
20                        -0.008          -2.520
21                        -0.012          -2.520
22                        -0.004          -2.520
23                        -0.008          -2.520
24                         0.000          -2.480
25                        -0.004          -2.480
26                         0.008          -2.440
27                         0.004          -2.440
28                         0.016          -2.440
29                         0.012          -2.440
30                         0.016          -2.400
31                         0.016          -2.400
32                         0.024          -2.360
33                         0.020          -2.360
34                         0.032          -2.320
35                         0.024          -2.320
36                         0.036          -2.280
37                         0.032          -2.280
38                         0.040          -2.240
39                         0.036          -2.240
40                         0.048          -2.200
41                         0.040          -2.200
42                         0.052          -2.120
43                         0.044          -2.120
44                         0.056          -2.080
45                         0.052          -2.080
46                         0.064          -2.040
47                         0.056          -2.040
48                         0.068          -1.960
49                         0.056          -1.960
50                         0.072          -1.920
51                         0.060          -1.880
52                         0.080          -1.840
53                         0.064          -1.840
54                         0.088          -1.760
55                         0.068          -1.760
56                         0.088          -1.720
57                         0.080          -1.680
58                         0.096          -1.640
59                         0.076          -1.640
60                         0.100          -1.560
61                         0.088          -1.560
62                         0.100          -1.480
63                         0.092          -1.480
64                         0.108          -1.400
65                         0.096          -1.400
66                         0.108          -1.320
67                         0.104          -1.320
68                         0.112          -1.240
69                         0.104          -1.240
70                         0.116          -1.160
71                         0.108          -1.160
72                         0.120          -1.080
73                         0.112          -1.080
74                         0.120          -1.000
75                         0.116          -0.960
76                         0.124          -0.880
77                         0.116          -0.880
78                         0.124          -0.800
79                         0.120          -0.800
80                         0.132          -0.720
81                         0.124          -0.720
82                         0.132          -0.640
83                         0.128          -0.600
84                         0.132          -0.520
85                         0.128          -0.520
86                         0.136          -0.440
87                         0.132          -0.440
88                         0.140          -0.360
89                         0.128          -0.360
90                         0.144          -0.240
91                         0.136          -0.240
92                         0.144          -0.160
93                         0.136          -0.160
94                         0.144          -0.080
95                         0.136          -0.080
96                         0.144           0.040
97                         0.140           0.040
98                         0.148           0.120
99                         0.140           0.120
100                        0.152           0.200
101                        0.140           0.200
102                        0.148           0.320
103                        0.140           0.320
104                        0.148           0.400
105                        0.140           0.400
106                        0.152           0.480
107                        0.140           0.480
108                        0.152           0.600
109                        0.144           0.600
110                        0.152           0.680
111                        0.140           0.680
