                     CH2(Unit:V)     CH3(Unit:V)
Frequency:            69.000 kHz      69.000 kHz
Period:                14.493 uS       14.493 uS
PK-PK:                     668mV           4.92V
1                         -0.004           1.600
2                          0.020           1.680
3                         -0.016           1.520
4                          0.000           1.600
5                         -0.028           1.440
6                         -0.008           1.520
7                         -0.044           1.360
8                         -0.028           1.440
9                         -0.060           1.280
10                        -0.044           1.360
11                        -0.072           1.200
12                        -0.052           1.280
13                        -0.084           1.080
14                        -0.068           1.160
15                        -0.096           1.000
16                        -0.076           1.080
17                        -0.116           0.880
18                        -0.100           1.000
19                        -0.124           0.800
20                        -0.112           0.880
21                        -0.140           0.680
22                        -0.120           0.800
23                        -0.152           0.600
24                        -0.132           0.680
25                        -0.164           0.480
26                        -0.148           0.600
27                        -0.176           0.400
28                        -0.156           0.480
29                        -0.184           0.280
30                        -0.172           0.360
31                        -0.200           0.160
32                        -0.180           0.280
33                        -0.212           0.080
34                        -0.192           0.160
35                        -0.220          -0.040
36                        -0.208           0.040
37                        -0.232          -0.160
38                        -0.220          -0.040
39                        -0.240          -0.240
40                        -0.228          -0.160
41                        -0.244          -0.360
42                        -0.236          -0.240
43                        -0.256          -0.440
44                        -0.244          -0.360
45                        -0.264          -0.560
46                        -0.256          -0.480
47                        -0.276          -0.680
48                        -0.264          -0.600
49                        -0.280          -0.760
50                        -0.268          -0.680
51                        -0.288          -0.880
52                        -0.280          -0.800
53                        -0.300          -0.960
54                        -0.284          -0.880
55                        -0.300          -1.080
56                        -0.292          -1.000
57                        -0.304          -1.160
58                        -0.292          -1.080
59                        -0.312          -1.240
60                        -0.300          -1.160
61                        -0.316          -1.360
62                        -0.308          -1.280
63                        -0.320          -1.440
64                        -0.308          -1.360
65                        -0.320          -1.520
66                        -0.312          -1.440
67                        -0.324          -1.600
68                        -0.316          -1.520
69                        -0.328          -1.680
70                        -0.320          -1.600
71                        -0.328          -1.760
72                        -0.320          -1.720
73                        -0.328          -1.840
74                        -0.316          -1.800
75                        -0.324          -1.920
76                        -0.320          -1.840
77                        -0.328          -2.000
78                        -0.320          -1.920
79                        -0.328          -2.040
80                        -0.316          -2.000
81                        -0.324          -2.120
82                        -0.316          -2.040
83                        -0.324          -2.160
84                        -0.312          -2.120
85                        -0.320          -2.200
86                        -0.308          -2.160
87                        -0.316          -2.280
88                        -0.308          -2.240
89                        -0.312          -2.320
90                        -0.304          -2.280
91                        -0.308          -2.360
92                        -0.296          -2.320
93                        -0.304          -2.400
94                        -0.292          -2.360
95                        -0.300          -2.440
96                        -0.284          -2.400
97                        -0.292          -2.440
98                        -0.280          -2.440
99                        -0.284          -2.480
100                       -0.272          -2.440
101                       -0.276          -2.480
102                       -0.264          -2.480
103                       -0.272          -2.520
104                       -0.260          -2.480
105                       -0.260          -2.520
106                       -0.252          -2.520
107                       -0.252          -2.520
108                       -0.236          -2.520
109                       -0.244          -2.520
110                       -0.228          -2.520
111                       -0.236          -2.520
112                       -0.220          -2.520
113                       -0.228          -2.520
114                       -0.208          -2.480
115                       -0.212          -2.520
116                       -0.196          -2.480
117                       -0.200          -2.480
118                       -0.188          -2.480
119                       -0.188          -2.480
120                       -0.176          -2.440
121                       -0.180          -2.440
122                       -0.160          -2.400
123                       -0.172          -2.400
124                       -0.152          -2.400
125                       -0.156          -2.400
126                       -0.136          -2.360
127                       -0.144          -2.360
128                       -0.128          -2.320
129                       -0.128          -2.280
130                       -0.112          -2.280
131                       -0.116          -2.240
132                       -0.096          -2.200
133                       -0.100          -2.200
134                       -0.084          -2.160
135                       -0.088          -2.160
136                       -0.072          -2.120
137                       -0.076          -2.080
138                       -0.060          -2.040
139                       -0.064          -2.040
140                       -0.044          -2.000
141                       -0.048          -1.960
142                       -0.036          -1.920
143                       -0.032          -1.920
144                       -0.016          -1.840
145                       -0.020          -1.840
146                       -0.008          -1.760
147                       -0.008          -1.760
148                        0.008          -1.680
149                        0.008          -1.680
150                        0.020          -1.600
151                        0.024          -1.600
152                        0.036          -1.520
153                        0.036          -1.520
154                        0.052          -1.440
155                        0.052          -1.400
156                        0.060          -1.360
157                        0.064          -1.320
158                        0.080          -1.240
159                        0.076          -1.240
160                        0.096          -1.160
161                        0.088          -1.160
162                        0.104          -1.040
163                        0.104          -1.040
164                        0.120          -0.960
165                        0.120          -0.960
166                        0.132          -0.840
167                        0.128          -0.840
168                        0.148          -0.760
169                        0.140          -0.760
170                        0.160          -0.640
171                        0.152          -0.640
172                        0.168          -0.560
173                        0.164          -0.560
174                        0.184          -0.440
175                        0.172          -0.440
176                        0.192          -0.360
177                        0.192          -0.320
178                        0.204          -0.240
179                        0.200          -0.240
180                        0.212          -0.120
181                        0.212          -0.120
