,CH2(Unit:V),CH3(Unit:V)
Frequency:,59.000 kHz,59.000 kHz
Period:,16.949 uS,16.949 uS
PK-PK:,232mV,5.00V
1,-0.116,-2.560
2,-0.104,-2.520
3,-0.112,-2.520
4,-0.104,-2.520
5,-0.112,-2.520
6,-0.104,-2.520
7,-0.112,-2.520
8,-0.100,-2.480
9,-0.112,-2.520
10,-0.104,-2.480
11,-0.116,-2.480
12,-0.100,-2.440
13,-0.108,-2.480
14,-0.100,-2.440
15,-0.112,-2.440
16,-0.096,-2.400
17,-0.108,-2.400
18,-0.096,-2.360
19,-0.108,-2.400
20,-0.100,-2.360
21,-0.104,-2.360
22,-0.088,-2.320
23,-0.104,-2.320
24,-0.088,-2.280
25,-0.100,-2.280
26,-0.092,-2.240
27,-0.100,-2.240
28,-0.092,-2.200
29,-0.100,-2.160
30,-0.084,-2.120
31,-0.100,-2.120
32,-0.080,-2.080
33,-0.096,-2.080
34,-0.080,-2.040
35,-0.088,-2.000
36,-0.080,-1.960
37,-0.088,-1.960
38,-0.080,-1.920
39,-0.084,-1.920
40,-0.072,-1.840
41,-0.084,-1.840
42,-0.072,-1.760
43,-0.080,-1.760
44,-0.068,-1.720
45,-0.080,-1.720
46,-0.068,-1.640
47,-0.072,-1.640
48,-0.064,-1.560
49,-0.072,-1.560
50,-0.056,-1.520
51,-0.068,-1.480
52,-0.056,-1.400
53,-0.064,-1.400
54,-0.056,-1.360
55,-0.060,-1.320
56,-0.048,-1.240
57,-0.056,-1.240
58,-0.044,-1.200
59,-0.052,-1.160
60,-0.044,-1.080
61,-0.048,-1.080
62,-0.040,-1.000
63,-0.044,-1.000
64,-0.036,-0.920
65,-0.044,-0.920
66,-0.032,-0.840
67,-0.036,-0.840
68,-0.028,-0.760
69,-0.032,-0.720
70,-0.024,-0.640
71,-0.032,-0.640
72,-0.016,-0.560
73,-0.028,-0.560
74,-0.016,-0.480
75,-0.028,-0.480
76,-0.012,-0.400
77,-0.016,-0.400
78,-0.008,-0.280
79,-0.016,-0.320
80,-0.004,-0.200
81,-0.012,-0.200
82,0.004,-0.120
83,-0.004,-0.120
84,0.004,-0.040
85,0.000,0.000
86,0.008,0.080
87,0.004,0.080
88,0.012,0.160
89,0.008,0.160
90,0.016,0.240
91,0.008,0.240
92,0.020,0.360
93,0.016,0.360
94,0.028,0.440
95,0.016,0.440
96,0.032,0.520
97,0.020,0.520
98,0.032,0.600
99,0.024,0.640
100,0.036,0.680
101,0.032,0.720
102,0.044,0.800
103,0.032,0.800
104,0.044,0.880
105,0.036,0.880
106,0.048,0.960
107,0.044,0.960
108,0.052,1.040
109,0.044,1.040
110,0.052,1.120
111,0.048,1.120
112,0.064,1.200
113,0.052,1.200
114,0.064,1.280
115,0.056,1.280
116,0.064,1.360
117,0.060,1.360
118,0.068,1.440
119,0.064,1.440
120,0.072,1.520
121,0.060,1.520
122,0.076,1.560
123,0.068,1.560
124,0.080,1.640
125,0.072,1.640
126,0.084,1.720
127,0.076,1.720
128,0.088,1.760
129,0.076,1.760
130,0.088,1.840
131,0.076,1.840
132,0.088,1.880
133,0.080,1.880
134,0.092,1.920
135,0.084,1.960
136,0.096,2.000
137,0.084,2.000
138,0.096,2.040
139,0.088,2.040
140,0.096,2.080
141,0.092,2.080
142,0.100,2.120
143,0.092,2.120
144,0.104,2.160
145,0.096,2.200
146,0.104,2.200
147,0.096,2.200
148,0.104,2.240
149,0.100,2.240
150,0.104,2.280
151,0.096,2.280
152,0.112,2.320
153,0.096,2.320
154,0.108,2.320
155,0.100,2.320
156,0.116,2.360
157,0.100,2.360
158,0.112,2.360
159,0.100,2.360
160,0.112,2.400
161,0.104,2.400
162,0.116,2.400
163,0.100,2.400
164,0.116,2.400
165,0.104,2.400
166,0.112,2.400
167,0.104,2.400
168,0.116,2.440
169,0.104,2.400
170,0.116,2.440
171,0.104,2.400
172,0.116,2.400
173,0.104,2.400
174,0.112,2.400
175,0.100,2.400
176,0.112,2.400
177,0.104,2.360
178,0.116,2.400
179,0.104,2.360
180,0.112,2.360
181,0.100,2.320
182,0.112,2.360
183,0.100,2.320
184,0.108,2.320
185,0.096,2.280
186,0.112,2.320
187,0.100,2.240
188,0.108,2.280
189,0.096,2.200
190,0.108,2.240
191,0.092,2.160
192,0.104,2.200
193,0.092,2.120
194,0.104,2.160
195,0.092,2.080
196,0.100,2.120
197,0.092,2.040
198,0.100,2.080
199,0.088,2.000
200,0.096,2.040
201,0.084,1.960
202,0.096,2.000
203,0.084,1.880
204,0.096,1.920
205,0.080,1.840
206,0.092,1.880
207,0.076,1.760
208,0.088,1.840
209,0.076,1.720
210,0.084,1.760
211,0.072,1.640
212,0.084,1.680
213,0.072,1.560
214,0.084,1.640
215,0.064,1.480
216,0.080,1.560
217,0.060,1.440
218,0.072,1.480
219,0.060,1.360
220,0.068,1.440
221,0.056,1.280
222,0.068,1.320
223,0.052,1.200
