1Cu_Solid, 72200, 0.16
2Cu_Small, 72200, 0.15
3Cu_Big, 72200, 0.16
4Al_Solid, 71900, 0.156
5Al_Small, 72000, 0.15
6Al_Big, 71900, 0.15
7Fe_Solid, 55000, 0.05
8Fe_Small, 56000, 0.05
9Fe_Big, 56800, 0.05
10Empty, 57800, 0.26
C2_Al, 62500, 0.20
C2_Cu, 62500, 0.22
C2_Empty, 50500, 0.218
C2_Fe, 47000, 0.0659
C3_Al, 18300, 0.642
C3_Cu, 18600, 0.685
C3_Empty, 15000, 0.85
C3_Fe, 12000, 0.217
R20_Al, 71200, 0.25
R20_Cu, 71800, 0.255
R20_Empty, 57900, 0.40
R20_Fe, 54500, 0.088
R21_Al, 71300, 0.414
R21_Cu, 71800, 0.44
R21_Empty, 57900, 0.595
R21_Fe, 54000, 0171
